.thisRepN,.thisTrialN,.thisN,.thisIndex,.thisTrial,Block Number,Key pressed,Correct?,Category,Int Match?,Int Response,Int Correct?,Line Accuracy,Interference Accuracy,Matching Interferences,New instruction shown?,Buttons switched?,Fast?,gender,age,
4,14,74,6,6,2,['d'],Y,['d'],Y,None,N,,,,,,,female,20,
5,0,75,9,9,2,['d'],Y,['d'],Y,None,N,,,,,,,female,20,
5,1,76,11,11,2,['d'],Y,['d'],Y,None,N,,,,,,,female,20,
5,2,77,5,5,2,['k'],Y,['k'],Y,['space'],Y,,,,,,,female,20,
5,3,78,8,8,2,['k'],Y,['k'],N,None,Y,,,,,,,female,20,
5,4,79,13,13,2,['k'],Y,['k'],N,None,Y,,,,,,,female,20,
5,5,80,4,4,2,['k'],Y,['k'],Y,['space'],Y,,,,,,,female,20,
5,6,81,2,2,2,['k'],Y,['k'],N,None,Y,,,,,,,female,20,
5,7,82,11,11,2,['k'],Y,['k'],Y,None,N,,,,,,,female,20,
5,8,83,6,6,2,['d'],Y,['d'],N,None,Y,,,,,,,female,20,
5,9,84,1,1,2,['d'],Y,['d'],N,None,Y,,,,,,,female,20,
5,10,85,13,13,2,['d'],Y,['d'],Y,['space'],Y,,,,,,,female,20,
5,11,86,10,10,2,['k'],Y,['k'],N,None,Y,,,,,,,female,20,
5,12,87,2,2,2,['k'],Y,['k'],Y,['space'],Y,,,,,,,female,20,
5,13,88,12,12,2,['d'],Y,['d'],Y,None,N,,,,,,,female,20,
5,14,89,2,2,2,['k'],Y,['k'],Y,None,N,,,,,,,female,20,
6,0,90,2,2,2,['d'],Y,['d'],N,None,Y,,,,,,,female,20,
6,1,91,10,10,2,['d'],Y,['d'],Y,None,N,,,,,,,female,20,
6,2,92,6,6,2,['k'],Y,['k'],N,['space'],N,,,,,,,female,20,
6,3,93,1,1,2,['k'],Y,['k'],N,None,Y,,,,,,,female,20,
6,4,94,9,9,2,['k'],Y,['k'],Y,None,N,,,,,,,female,20,
6,5,95,1,1,2,['k'],Y,['k'],N,None,Y,,,,,,,female,20,
6,6,96,1,1,2,['k'],Y,['k'],N,None,Y,,,,,,,female,20,
6,7,97,14,14,2,['d'],Y,['d'],N,None,Y,,,,,,,female,20,
6,8,98,11,11,2,['d'],Y,['d'],N,None,Y,,,,,,,female,20,
6,9,99,10,10,2,['d'],Y,['d'],Y,None,N,50,35,21,,,,female,20,
6,10,100,5,5,3,['k'],Y,['k'],,,,,,,,,,female,20,
6,11,101,14,14,3,['d'],Y,['d'],,,,,,,,,,female,20,
6,12,102,3,3,3,['d'],Y,['d'],N,None,Y,,,,,,,female,20,
6,13,103,14,14,3,['d'],Y,['d'],Y,['space'],Y,,,,,,,female,20,
6,14,104,4,4,3,['k'],N,['d'],Y,None,N,,,,,,,female,20,
7,0,105,7,7,3,['d'],Y,['d'],Y,None,N,,,,,,,female,20,
7,1,106,9,9,3,['d'],Y,['d'],N,None,Y,,,,,,,female,20,
7,2,107,3,3,3,['d'],Y,['d'],Y,None,N,,,,,,,female,20,
7,3,108,2,2,3,['d'],Y,['d'],Y,['space'],Y,,,,,,,female,20,
7,4,109,11,11,3,['k'],Y,['k'],N,None,Y,,,,,,,female,20,
7,5,110,2,2,3,['d'],Y,['d'],Y,None,N,,,,,,,female,20,
7,6,111,4,4,3,['k'],Y,['k'],Y,['space'],Y,,,,,,,female,20,
7,7,112,13,13,3,['k'],Y,['k'],Y,None,N,,,,,,,female,20,
7,8,113,12,12,3,['d'],Y,['d'],N,None,Y,,,,,,,female,20,
7,9,114,9,9,3,['d'],Y,['d'],N,None,Y,,,,,,,female,20,
7,10,115,1,1,3,['d'],Y,['d'],N,None,Y,,,,,,,female,20,
7,11,116,0,0,3,['k'],Y,['k'],Y,['space'],Y,,,,,,,female,20,
7,12,117,9,9,3,['d'],Y,['d'],N,None,Y,,,,,,,female,20,
7,13,118,2,2,3,['k'],Y,['k'],N,None,Y,,,,,,,female,20,
7,14,119,0,0,3,['d'],Y,['d'],Y,None,N,,,,,,,female,20,
8,0,120,12,12,3,['k'],Y,['k'],N,None,Y,,,,,,,female,20,
8,1,121,7,7,3,['k'],Y,['k'],Y,['space'],Y,,,,,,,female,20,
8,2,122,1,1,3,['k'],Y,['k'],Y,None,N,,,,,,,female,20,
8,3,123,13,13,3,['d'],Y,['d'],N,None,Y,,,,,,,female,20,
8,4,124,10,10,3,['k'],Y,['k'],Y,['space'],Y,,,,,,,female,20,
8,5,125,8,8,3,['d'],Y,['d'],N,None,Y,,,,,,,female,20,
8,6,126,4,4,3,['k'],Y,['k'],Y,None,N,,,,,,,female,20,
8,7,127,13,13,3,['d'],Y,['d'],Y,['space'],Y,,,,,,,female,20,
8,8,128,13,13,3,['d'],Y,['d'],Y,['space'],Y,,,,,,,female,20,
8,9,129,13,13,3,['k'],Y,['k'],Y,None,N,,,,,,,female,20,
8,10,130,4,4,3,['d'],Y,['d'],Y,None,N,,,,,,,female,20,
8,11,131,1,1,3,['k'],Y,['k'],N,None,Y,,,,,,,female,20,
8,12,132,10,10,3,['k'],Y,['k'],N,None,Y,,,,,,,female,20,
8,13,133,8,8,3,['k'],Y,['k'],N,None,Y,,,,,,,female,20,
8,14,134,13,13,3,['k'],Y,['k'],Y,None,N,,,,,,,female,20,
9,0,135,0,0,3,['d'],Y,['d'],Y,['space'],Y,,,,,,,female,20,
9,1,136,12,12,3,['d'],Y,['d'],N,None,Y,,,,,,,female,20,
9,2,137,0,0,3,['k'],Y,['k'],Y,None,N,,,,,,,female,20,
9,3,138,0,0,3,['d'],Y,['d'],Y,['space'],Y,,,,,,,female,20,
9,4,139,8,8,3,['k'],Y,['k'],Y,None,N,,,,,,,female,20,
9,5,140,0,0,3,['d'],Y,['d'],Y,['space'],Y,,,,,,,female,20,
