.thisRepN,.thisTrialN,.thisN,.thisIndex,.thisTrial,Block Number,Key pressed,Correct?,Int Match?,Int Response,Int Correct?,Category,Line Accuracy,Interference Accuracy,Matching Interferences,New instruction shown?,Buttons switched?,Fast?,gender,age,
0,0,0,8,8,1,None,Timed out,,,,,,,,,,,Female,20,
0,1,1,2,2,1,None,Timed out,,,,,,,,,,,Female,20,
0,2,2,8,8,1,None,Timed out,Y,None,N,,,,,,,,Female,20,
0,3,3,13,13,1,None,Timed out,N,None,Y,,,,,,,,Female,20,
0,4,4,9,9,1,['d'],Y,Y,['d'],N,['d'],,,,,,,Female,20,
0,5,5,9,9,1,['k'],Y,Y,None,N,['k'],,,,,,,Female,20,
0,6,6,0,0,1,['d'],Y,N,None,Y,['d'],,,,,,,Female,20,
0,7,7,6,6,1,['k'],N,N,None,Y,['d'],,,,,,,Female,20,
0,8,8,1,1,1,['d'],N,N,None,Y,['k'],,,,,,,Female,20,
0,9,9,14,14,1,['d'],Y,N,None,Y,['d'],,,,,,,Female,20,
0,10,10,12,12,1,['k'],N,N,None,Y,['d'],,,,,,,Female,20,
0,11,11,7,7,1,['d'],N,N,None,Y,['k'],,,,,,,Female,20,
0,12,12,10,10,1,['k'],Y,N,None,Y,['k'],,,,,,,Female,20,
0,13,13,6,6,1,['d'],Y,Y,['space'],Y,['d'],,,,,,,Female,20,
0,14,14,6,6,1,['k'],N,N,None,Y,['d'],,,,,,,Female,20,
1,0,15,9,9,1,['d'],Y,N,None,Y,['d'],,,,,,,Female,20,
1,1,16,4,4,1,['k'],Y,N,None,Y,['k'],,,,,,,Female,20,
1,2,17,2,2,1,['d'],Y,Y,['d'],N,['d'],,,,,,,Female,20,
1,3,18,14,14,1,['k'],Y,Y,None,N,['k'],,,,,,,Female,20,
1,4,19,11,11,1,['d'],Y,N,None,Y,['d'],,,,,,,Female,20,
1,5,20,12,12,1,['k'],Y,Y,['space'],Y,['k'],,,,,,,Female,20,
1,6,21,0,0,1,['d'],Y,N,None,Y,['d'],,,,,,,Female,20,
1,7,22,12,12,1,['d'],N,N,None,Y,['k'],,,,,,,Female,20,
1,8,23,9,9,1,['d'],N,Y,None,N,['k'],,,,,,,Female,20,
