.thisRepN,.thisTrialN,.thisN,.thisIndex,.thisTrial,Block Number,Key pressed,Correct?,Int Match?,Int Response,Int Correct?,Category,Line Accuracy,Interference Accuracy,Matching Interferences,New instruction shown?,Buttons switched?,Fast?,gender,age,
5,1,76,6,6,2,['k'],N,N,None,Y,['d'],,,,,,,F,20,
5,2,77,12,12,2,['d'],N,Y,None,N,['k'],,,,,,,F,20,
5,3,78,6,6,2,['k'],Y,N,None,Y,['k'],,,,,,,F,20,
5,4,79,1,1,2,['d'],Y,Y,None,N,['d'],,,,,,,F,20,
5,5,80,13,13,2,['k'],Y,Y,None,N,['k'],,,,,,,F,20,
5,6,81,1,1,2,['k'],N,N,None,Y,['d'],,,,,,,F,20,
5,7,82,1,1,2,['k'],N,N,None,Y,['d'],,,,,,,F,20,
5,8,83,5,5,2,['d'],Y,Y,None,N,['d'],,,,,,,F,20,
5,9,84,1,1,2,['k'],Y,N,None,Y,['k'],,,,,,,F,20,
5,10,85,4,4,2,['k'],N,N,None,Y,['d'],,,,,,,F,20,
5,11,86,11,11,2,['k'],N,N,None,Y,['d'],,,,,,,F,20,
5,12,87,3,3,2,['k'],Y,N,None,Y,['k'],,,,,,,F,20,
5,13,88,8,8,2,['d'],Y,N,None,Y,['d'],,,,,,,F,20,
5,14,89,13,13,2,['k'],Y,Y,None,N,['k'],,,,,,,F,20,
6,0,90,11,11,2,['d'],N,Y,None,N,['k'],,,,,,,F,20,
6,1,91,10,10,2,['k'],Y,N,['k'],N,['k'],,,,,,,F,20,
6,2,92,9,9,2,['k'],Y,Y,None,N,['k'],,,,,,,F,20,
6,3,93,10,10,2,['d'],Y,N,None,Y,['d'],,,,,,,F,20,
6,4,94,10,10,2,['k'],N,N,None,Y,['d'],,,,,,,F,20,
6,5,95,5,5,2,['d'],N,N,None,Y,['k'],,,,,,,F,20,
6,6,96,4,4,2,['k'],Y,N,None,Y,['k'],,,,,,,F,20,
6,7,97,14,14,2,['d'],Y,N,None,Y,['d'],,,,,,,F,20,
6,8,98,12,12,2,['k'],N,N,None,Y,['d'],,,,,,,F,20,
6,9,99,8,8,2,['d'],N,Y,None,N,['k'],27,26,21,,,,F,20,
6,10,100,10,10,3,['k'],N,,,,['d'],,,,,,,F,20,
6,11,101,14,14,3,['k'],N,,,,['d'],,,,,,,F,20,
6,12,102,7,7,3,['k'],Y,N,None,Y,['k'],,,,,,,F,20,
6,13,103,9,9,3,['d'],Y,N,None,Y,['d'],,,,,,,F,20,
6,14,104,7,7,3,['k'],N,N,None,Y,['d'],,,,,,,F,20,
7,0,105,12,12,3,['d'],Y,Y,None,N,['d'],,,,,,,F,20,
7,1,106,6,6,3,['d'],N,N,None,Y,['k'],,,,,,,F,20,
7,2,107,13,13,3,['k'],N,N,None,Y,['d'],,,,,,,F,20,
7,3,108,7,7,3,['d'],Y,N,None,Y,['d'],,,,,,,F,20,
7,4,109,6,6,3,['k'],Y,N,None,Y,['k'],,,,,,,F,20,
7,5,110,1,1,3,['d'],N,Y,None,N,['k'],,,,,,,F,20,
7,6,111,9,9,3,['k'],N,Y,None,N,['d'],,,,,,,F,20,
7,7,112,13,13,3,['d'],N,Y,None,N,['k'],,,,,,,F,20,
7,8,113,12,12,3,['k'],N,N,None,Y,['d'],,,,,,,F,20,
7,9,114,0,0,3,['d'],Y,N,None,Y,['d'],,,,,,,F,20,
7,10,115,2,2,3,['k'],Y,Y,None,N,['k'],,,,,,,F,20,
7,11,116,12,12,3,['d'],N,Y,None,N,['k'],,,,,,,F,20,
7,12,117,13,13,3,['k'],Y,Y,None,N,['k'],,,,,,,F,20,
7,13,118,0,0,3,['k'],Y,Y,None,N,['k'],,,,,,,F,20,
7,14,119,4,4,3,['d'],N,Y,None,N,['k'],,,,,,,F,20,
8,0,120,12,12,3,['k'],N,N,None,Y,['d'],,,,,,,F,20,
8,1,121,5,5,3,['d'],Y,Y,None,N,['d'],,,,,,,F,20,
8,2,122,6,6,3,['k'],N,Y,None,N,['d'],,,,,,,F,20,
8,3,123,10,10,3,['d'],N,Y,None,N,['k'],,,,,,,F,20,
8,4,124,9,9,3,['k'],N,Y,None,N,['d'],,,,,,,F,20,
8,5,125,11,11,3,['d'],N,N,None,Y,['k'],,,,,,,F,20,
8,6,126,9,9,3,['k'],N,N,None,Y,['d'],,,,,,,F,20,
8,7,127,2,2,3,['d'],Y,N,None,Y,['d'],,,,,,,F,20,
8,8,128,0,0,3,['d'],N,Y,None,N,['k'],,,,,,,F,20,
8,9,129,9,9,3,None,Timed out,N,None,Y,,,,,,,,F,20,
8,10,130,11,11,3,['k'],Y,N,None,Y,['k'],,,,,,,F,20,
8,11,131,14,14,3,['d'],Y,Y,None,N,['d'],,,,,,,F,20,
8,12,132,1,1,3,['d'],Y,Y,None,N,['d'],,,,,,,F,20,
8,13,133,9,9,3,['k'],N,N,None,Y,['d'],,,,,,,F,20,
8,14,134,10,10,3,['k'],Y,N,None,Y,['k'],,,,,,,F,20,
9,0,135,4,4,3,['k'],N,N,None,Y,['d'],,,,,,,F,20,
9,1,136,4,4,3,['d'],Y,N,None,Y,['d'],,,,,,,F,20,
9,2,137,13,13,3,['d'],N,Y,None,N,['k'],,,,,,,F,20,
9,3,138,2,2,3,['k'],N,N,None,Y,['d'],,,,,,,F,20,
9,4,139,8,8,3,['d'],Y,Y,None,N,['d'],,,,,,,F,20,
9,5,140,6,6,3,['k'],Y,N,None,Y,['k'],,,,,,,F,20,
9,6,141,12,12,3,['d'],Y,N,None,Y,['d'],,,,,,,F,20,
9,7,142,8,8,3,['k'],Y,Y,None,N,['k'],,,,,,,F,20,
9,8,143,14,14,3,['k'],Y,N,['d'],N,['k'],,,,,,,F,20,
9,9,144,5,5,3,['k'],Y,N,None,Y,['k'],,,,,,,F,20,
9,10,145,4,4,3,['k'],N,Y,None,N,['d'],,,,,,,F,20,
9,11,146,4,4,3,['d'],Y,Y,None,N,['d'],,,,,,,F,20,
9,12,147,12,12,3,['k'],N,Y,None,N,['d'],,,,,,,F,20,
9,13,148,13,13,3,['d'],N,N,None,Y,['k'],,,,,,,F,20,
9,14,149,11,11,3,['d'],N,Y,None,N,['k'],23,24,23,,,,F,20,
10,0,150,6,6,4,['d'],Y,,,,['d'],,,,,,,F,20,
10,1,151,12,12,4,['k'],Y,,,,['k'],,,,,,,F,20,
10,2,152,9,9,4,['k'],Y,Y,None,N,['k'],,,,,,,F,20,
10,3,153,11,11,4,['k'],Y,N,['k'],N,['k'],,,,,,,F,20,
10,4,154,4,4,4,['d'],Y,Y,None,N,['d'],,,,,,,F,20,
10,5,155,14,14,4,['d'],Y,N,None,Y,['d'],,,,,,,F,20,
10,6,156,11,11,4,['d'],N,Y,None,N,['k'],,,,,,,F,20,
10,7,157,8,8,4,['d'],Y,Y,None,N,['d'],,,,,,,F,20,
10,8,158,10,10,4,['d'],Y,Y,None,N,['d'],,,,,,,F,20,
10,9,159,13,13,4,['d'],Y,Y,None,N,['d'],,,,,,,F,20,
10,10,160,1,1,4,['k'],N,N,None,Y,['d'],,,,,,,F,20,
10,11,161,13,13,4,['k'],N,Y,None,N,['d'],,,,,,,F,20,
10,12,162,11,11,4,['k'],Y,N,None,Y,['k'],,,,,,,F,20,
10,13,163,3,3,4,['d'],Y,Y,None,N,['d'],,,,,,,F,20,
10,14,164,0,0,4,['d'],Y,Y,None,N,['d'],,,,,,,F,20,
11,0,165,9,9,4,['k'],N,N,None,Y,['d'],,,,,,,F,20,
11,1,166,3,3,4,['k'],N,N,None,Y,['d'],,,,,,,F,20,
11,2,167,8,8,4,['d'],N,Y,None,N,['k'],,,,,,,F,20,
11,3,168,12,12,4,['d'],Y,Y,None,N,['d'],,,,,,,F,20,
11,4,169,7,7,4,['k'],Y,N,None,Y,['k'],,,,,,,F,20,
11,5,170,11,11,4,['d'],N,Y,None,N,['k'],,,,,,,F,20,
11,6,171,9,9,4,['k'],Y,N,None,Y,['k'],,,,,,,F,20,
11,7,172,14,14,4,['k'],Y,N,None,Y,['k'],,,,,,,F,20,
11,8,173,4,4,4,['k'],Y,N,None,Y,['k'],,,,,,,F,20,
11,9,174,6,6,4,['d'],N,Y,None,N,['k'],,,,,,,F,20,
11,10,175,2,2,4,['k'],Y,N,None,Y,['k'],,,,,,,F,20,
11,11,176,6,6,4,['k'],Y,N,None,Y,['k'],,,,,,,F,20,
11,12,177,5,5,4,None,Timed out,Y,None,N,,,,,,,,F,20,
11,13,178,1,1,4,['k'],Y,N,None,Y,['k'],,,,,,,F,20,
11,14,179,5,5,4,['k'],Y,Y,None,N,['k'],,,,,,,F,20,
12,0,180,4,4,4,['k'],Y,Y,None,N,['k'],,,,,,,F,20,
12,1,181,14,14,4,['d'],Y,Y,None,N,['d'],,,,,,,F,20,
12,2,182,0,0,4,['k'],Y,Y,None,N,['k'],,,,,,,F,20,
12,3,183,11,11,4,['k'],Y,N,None,Y,['k'],,,,,,,F,20,
12,4,184,8,8,4,['d'],N,Y,None,N,['k'],,,,,,,F,20,
12,5,185,8,8,4,['d'],N,N,None,Y,['k'],,,,,,,F,20,
12,6,186,3,3,4,['k'],Y,N,None,Y,['k'],,,,,,,F,20,
12,7,187,7,7,4,['k'],Y,N,None,Y,['k'],,,,,,,F,20,
12,8,188,9,9,4,['k'],Y,N,None,Y,['k'],,,,,,,F,20,
12,9,189,14,14,4,['k'],N,N,None,Y,['d'],,,,,,,F,20,
12,10,190,1,1,4,['k'],Y,Y,None,N,['k'],,,,,,,F,20,
12,11,191,8,8,4,['k'],N,N,None,Y,['d'],,,,,,,F,20,
12,12,192,3,3,4,['k'],Y,Y,None,N,['k'],,,,,,,F,20,
12,13,193,10,10,4,['d'],N,Y,['d'],N,['k'],,,,,,,F,20,
12,14,194,8,8,4,['k'],Y,N,None,Y,['k'],,,,,,,F,20,
13,0,195,0,0,4,['k'],N,Y,None,N,['d'],,,,,,,F,20,
13,1,196,7,7,4,['d'],Y,Y,None,N,['d'],,,,,,,F,20,
13,2,197,10,10,4,['d'],Y,Y,None,N,['d'],,,,,,,F,20,
13,3,198,2,2,4,['k'],N,N,None,Y,['d'],,,,,,,F,20,
13,4,199,11,11,4,['k'],N,N,None,Y,['d'],33,22,25,,,,F,20,
13,5,200,5,5,5,['k'],Y,,,,['k'],,,,,,,F,20,
13,6,201,1,1,5,['k'],Y,,,,['k'],,,,,,,F,20,
13,7,202,10,10,5,['k'],N,Y,None,N,['d'],,,,,,,F,20,
13,8,203,7,7,5,['d'],N,Y,None,N,['k'],,,,,,,F,20,
13,9,204,1,1,5,['d'],N,N,None,Y,['k'],,,,,,,F,20,
13,10,205,5,5,5,['d'],N,N,None,Y,['k'],,,,,,,F,20,
13,11,206,9,9,5,['d'],Y,N,None,Y,['d'],,,,,,,F,20,
13,12,207,10,10,5,['k'],N,N,None,Y,['d'],,,,,,,F,20,
13,13,208,5,5,5,['k'],Y,N,None,Y,['k'],,,,,,,F,20,
13,14,209,5,5,5,['k'],Y,Y,None,N,['k'],,,,,,,F,20,
