.thisRepN,.thisTrialN,.thisN,.thisIndex,.thisTrial,Block Number,Key pressed,Correct?,Category,Int Match?,Int Response,Int Correct?,Line Accuracy,Interference Accuracy,Matching Interferences,New instruction shown?,Buttons switched?,Fast?,gender,age,
5,0,75,4,4,2,['k'],N,['d'],N,None,Y,,,,,,,F,22,
5,1,76,6,6,2,['k'],N,['d'],N,None,Y,,,,,,,F,22,
5,2,77,8,8,2,['d'],Y,['d'],N,None,Y,,,,,,,F,22,
5,3,78,0,0,2,['d'],N,['k'],N,None,Y,,,,,,,F,22,
5,4,79,1,1,2,['k'],Y,['k'],N,None,Y,,,,,,,F,22,
5,5,80,1,1,2,['k'],N,['d'],Y,None,N,,,,,,,F,22,
5,6,81,14,14,2,['k'],N,['d'],Y,None,N,,,,,,,F,22,
5,7,82,8,8,2,['d'],N,['k'],Y,None,N,,,,,,,F,22,
5,8,83,0,0,2,['k'],N,['d'],N,None,Y,,,,,,,F,22,
5,9,84,11,11,2,['d'],N,['k'],N,None,Y,,,,,,,F,22,
5,10,85,0,0,2,['k'],N,['d'],N,None,Y,,,,,,,F,22,
5,11,86,5,5,2,['k'],N,['d'],N,None,Y,,,,,,,F,22,
5,12,87,14,14,2,['d'],Y,['d'],N,None,Y,,,,,,,F,22,
5,13,88,13,13,2,['k'],Y,['k'],Y,None,N,,,,,,,F,22,
5,14,89,13,13,2,['d'],Y,['d'],N,None,Y,,,,,,,F,22,
6,0,90,12,12,2,['d'],Y,['d'],N,None,Y,,,,,,,F,22,
6,1,91,3,3,2,['d'],Y,['d'],Y,None,N,,,,,,,F,22,
6,2,92,14,14,2,['d'],N,['k'],N,None,Y,,,,,,,F,22,
6,3,93,10,10,2,['k'],N,['d'],Y,None,N,,,,,,,F,22,
6,4,94,13,13,2,['d'],N,['k'],N,None,Y,,,,,,,F,22,
6,5,95,8,8,2,['d'],N,['k'],Y,None,N,,,,,,,F,22,
6,6,96,0,0,2,['k'],N,['d'],Y,None,N,,,,,,,F,22,
6,7,97,13,13,2,['k'],N,['d'],Y,None,N,,,,,,,F,22,
6,8,98,0,0,2,['d'],N,['k'],N,None,Y,,,,,,,F,22,
6,9,99,3,3,2,['k'],N,['d'],N,None,Y,23,25,24,,,,F,22,
6,10,100,7,7,3,['k'],Y,['k'],,,,,,,,,,F,22,
6,11,101,5,5,3,['k'],N,['d'],,,,,,,,,,F,22,
6,12,102,7,7,3,['k'],N,['d'],Y,['space'],Y,,,,,,,F,22,
6,13,103,9,9,3,['d'],Y,['d'],N,None,Y,,,,,,,F,22,
6,14,104,8,8,3,['k'],Y,['k'],N,None,Y,,,,,,,F,22,
7,0,105,2,2,3,['k'],Y,['k'],Y,None,N,,,,,,,F,22,
7,1,106,2,2,3,['k'],N,['d'],Y,['space'],Y,,,,,,,F,22,
7,2,107,3,3,3,['d'],Y,['d'],Y,None,N,,,,,,,F,22,
7,3,108,9,9,3,['k'],N,['d'],Y,None,N,,,,,,,F,22,
7,4,109,1,1,3,['d'],N,['k'],Y,['space'],Y,,,,,,,F,22,
7,5,110,12,12,3,['k'],Y,['k'],Y,['space'],Y,,,,,,,F,22,
7,6,111,3,3,3,['d'],Y,['d'],Y,['space'],Y,,,,,,,F,22,
7,7,112,5,5,3,['k'],N,['d'],Y,['space'],Y,,,,,,,F,22,
7,8,113,10,10,3,['d'],N,['k'],N,None,Y,,,,,,,F,22,
7,9,114,9,9,3,['k'],N,['d'],N,['space'],N,,,,,,,F,22,
7,10,115,2,2,3,['d'],N,['k'],Y,['space'],Y,,,,,,,F,22,
7,11,116,1,1,3,['k'],Y,['k'],N,None,Y,,,,,,,F,22,
7,12,117,1,1,3,['k'],Y,['k'],N,None,Y,,,,,,,F,22,
7,13,118,0,0,3,['k'],N,['d'],Y,['space'],Y,,,,,,,F,22,
7,14,119,11,11,3,['k'],Y,['k'],Y,None,N,,,,,,,F,22,
8,0,120,2,2,3,['k'],N,['d'],N,None,Y,,,,,,,F,22,
8,1,121,4,4,3,['d'],Y,['d'],N,None,Y,,,,,,,F,22,
8,2,122,8,8,3,['d'],N,['k'],Y,['space'],Y,,,,,,,F,22,
8,3,123,12,12,3,['k'],N,['d'],N,None,Y,,,,,,,F,22,
8,4,124,0,0,3,['d'],Y,['d'],N,None,Y,,,,,,,F,22,
8,5,125,6,6,3,['k'],Y,['k'],N,['space'],N,,,,,,,F,22,
8,6,126,14,14,3,['d'],Y,['d'],Y,None,N,,,,,,,F,22,
8,7,127,8,8,3,['d'],N,['k'],Y,None,N,,,,,,,F,22,
8,8,128,8,8,3,['k'],Y,['k'],Y,None,N,,,,,,,F,22,
8,9,129,4,4,3,['k'],N,['d'],N,['space'],N,,,,,,,F,22,
8,10,130,9,9,3,['k'],Y,['k'],N,None,Y,,,,,,,F,22,
8,11,131,14,14,3,['k'],N,['d'],N,None,Y,,,,,,,F,22,
8,12,132,0,0,3,['k'],Y,['k'],Y,['d'],N,,,,,,,F,22,
8,13,133,7,7,3,['d'],N,['k'],Y,['space'],Y,,,,,,,F,22,
8,14,134,8,8,3,['k'],N,['d'],Y,['k'],N,,,,,,,F,22,
9,0,135,7,7,3,['k'],N,['d'],N,['space'],N,,,,,,,F,22,
9,1,136,12,12,3,['d'],Y,['d'],Y,None,N,,,,,,,F,22,
9,2,137,10,10,3,['d'],Y,['d'],N,None,Y,,,,,,,F,22,
9,3,138,3,3,3,['d'],Y,['d'],Y,['space'],Y,,,,,,,F,22,
9,4,139,6,6,3,['k'],N,['d'],Y,None,N,,,,,,,F,22,
9,5,140,1,1,3,['d'],N,['k'],Y,None,N,,,,,,,F,22,
9,6,141,6,6,3,['k'],N,['d'],N,None,Y,,,,,,,F,22,
9,7,142,13,13,3,['d'],Y,['d'],N,None,Y,,,,,,,F,22,
9,8,143,10,10,3,['k'],N,['d'],N,['space'],N,,,,,,,F,22,
9,9,144,0,0,3,['d'],N,['k'],N,None,Y,,,,,,,F,22,
9,10,145,2,2,3,['k'],N,['d'],Y,['k'],N,,,,,,,F,22,
9,11,146,2,2,3,['d'],Y,['d'],Y,['space'],Y,,,,,,,F,22,
9,12,147,2,2,3,['k'],N,['d'],N,None,Y,,,,,,,F,22,
9,13,148,4,4,3,['d'],Y,['d'],N,['d'],N,,,,,,,F,22,
9,14,149,14,14,3,['k'],Y,['k'],N,None,Y,24,29,25,,,,F,22,
10,0,150,12,12,4,['k'],N,['d'],,,,,,,,,,F,22,
10,1,151,8,8,4,['k'],N,['d'],,,,,,,,,,F,22,
10,2,152,10,10,4,['k'],N,['d'],Y,['space'],Y,,,,,,,F,22,
10,3,153,14,14,4,['k'],N,['d'],Y,['space'],Y,,,,,,,F,22,
10,4,154,0,0,4,['d'],N,['k'],Y,None,N,,,,,,,F,22,
10,5,155,7,7,4,['d'],Y,['d'],Y,['k'],N,,,,,,,F,22,
10,6,156,3,3,4,['k'],N,['d'],Y,['space'],Y,,,,,,,F,22,
10,7,157,8,8,4,['d'],N,['k'],Y,['space'],Y,,,,,,,F,22,
10,8,158,11,11,4,['k'],Y,['k'],Y,['space'],Y,,,,,,,F,22,
10,9,159,8,8,4,['k'],N,['d'],N,None,Y,,,,,,,F,22,
10,10,160,9,9,4,['d'],Y,['d'],N,None,Y,,,,,,,F,22,
10,11,161,5,5,4,['k'],N,['d'],Y,['space'],Y,,,,,,,F,22,
10,12,162,3,3,4,['d'],N,['k'],Y,['space'],Y,,,,,,,F,22,
10,13,163,12,12,4,['k'],N,['d'],N,None,Y,,,,,,,F,22,
10,14,164,5,5,4,['d'],N,['k'],Y,['space'],Y,,,,,,,F,22,
11,0,165,2,2,4,['k'],N,['d'],Y,['k'],N,,,,,,,F,22,
11,1,166,12,12,4,['d'],Y,['d'],N,['d'],N,,,,,,,F,22,
11,2,167,4,4,4,['k'],Y,['k'],N,['k'],N,,,,,,,F,22,
11,3,168,10,10,4,['k'],N,['d'],N,['d'],N,,,,,,,F,22,
11,4,169,0,0,4,['k'],Y,['k'],N,None,Y,,,,,,,F,22,
11,5,170,14,14,4,['k'],Y,['k'],Y,None,N,,,,,,,F,22,
11,6,171,13,13,4,['k'],N,['d'],Y,None,N,,,,,,,F,22,
11,7,172,9,9,4,['k'],N,['d'],N,None,Y,,,,,,,F,22,
11,8,173,13,13,4,['d'],N,['k'],N,['space'],N,,,,,,,F,22,
11,9,174,7,7,4,['d'],Y,['d'],N,['k'],N,,,,,,,F,22,
11,10,175,10,10,4,['d'],N,['k'],Y,None,N,,,,,,,F,22,
11,11,176,2,2,4,['k'],N,['d'],N,None,Y,,,,,,,F,22,
11,12,177,5,5,4,['k'],N,['d'],Y,None,N,,,,,,,F,22,
11,13,178,6,6,4,['d'],N,['k'],Y,['space'],Y,,,,,,,F,22,
11,14,179,4,4,4,['k'],Y,['k'],Y,['k'],N,,,,,,,F,22,
12,0,180,8,8,4,['k'],N,['d'],N,None,Y,,,,,,,F,22,
12,1,181,3,3,4,['k'],N,['d'],Y,None,N,,,,,,,F,22,
12,2,182,11,11,4,['d'],N,['k'],N,None,Y,,,,,,,F,22,
12,3,183,9,9,4,['k'],Y,['k'],N,None,Y,,,,,,,F,22,
12,4,184,5,5,4,['k'],N,['d'],Y,['space'],Y,,,,,,,F,22,
12,5,185,4,4,4,['d'],N,['k'],Y,None,N,,,,,,,F,22,
12,6,186,3,3,4,['d'],N,['k'],N,['k'],N,,,,,,,F,22,
12,7,187,5,5,4,['k'],N,['d'],N,['k'],N,,,,,,,F,22,
12,8,188,4,4,4,['k'],Y,['k'],Y,None,N,,,,,,,F,22,
12,9,189,7,7,4,['d'],Y,['d'],N,None,Y,,,,,,,F,22,
12,10,190,8,8,4,['k'],Y,['k'],Y,None,N,,,,,,,F,22,
12,11,191,11,11,4,['k'],N,['d'],Y,['space'],Y,,,,,,,F,22,
12,12,192,6,6,4,['k'],Y,['k'],Y,None,N,,,,,,,F,22,
12,13,193,7,7,4,['d'],Y,['d'],N,None,Y,,,,,,,F,22,
12,14,194,8,8,4,['k'],N,['d'],Y,['space'],Y,,,,,,,F,22,
13,0,195,2,2,4,['k'],N,['d'],N,None,Y,,,,,,,F,22,
13,1,196,6,6,4,['k'],N,['d'],N,None,Y,,,,,,,F,22,
13,2,197,6,6,4,['d'],N,['k'],N,None,Y,,,,,,,F,22,
13,3,198,10,10,4,['k'],N,['d'],N,None,Y,,,,,,,F,22,
13,4,199,11,11,4,['k'],N,['d'],N,['d'],N,15,27,25,,,,F,22,
13,5,200,4,4,5,['k'],Y,['k'],,,,,,,,,,F,22,
13,6,201,7,7,5,['k'],Y,['k'],,,,,,,,,,F,22,
