.thisRepN,.thisTrialN,.thisN,.thisIndex,.thisTrial,Block Number,Key pressed,Correct?,Category,Int Match?,Int Response,Int Correct?,Line Accuracy,Interference Accuracy,Matching Interferences,New instruction shown?,Buttons switched?,Fast?,gender,age,
0,0,0,5,5,1,None,Timed out,,,,,,,,,,,F,20,
0,1,1,5,5,1,['k'],Y,['k'],,,,,,,,,,F,20,
0,2,2,4,4,1,['d'],N,['k'],Y,None,N,,,,,,,F,20,
0,3,3,0,0,1,['k'],Y,['k'],N,None,Y,,,,,,,F,20,
0,4,4,2,2,1,['d'],N,['k'],N,None,Y,,,,,,,F,20,
0,5,5,0,0,1,['d'],Y,['d'],Y,None,N,,,,,,,F,20,
0,6,6,10,10,1,['k'],Y,['k'],Y,None,N,,,,,,,F,20,
0,7,7,0,0,1,['d'],N,['k'],N,None,Y,,,,,,,F,20,
0,8,8,1,1,1,['k'],N,['d'],N,None,Y,,,,,,,F,20,
0,9,9,4,4,1,['d'],N,['k'],Y,None,N,,,,,,,F,20,
0,10,10,0,0,1,['k'],N,['d'],N,None,Y,,,,,,,F,20,
1,0,11,4,4,1,['d'],N,['k'],N,None,Y,,,,,,,F,20,
1,1,12,6,6,1,['k'],N,['d'],Y,None,N,,,,,,,F,20,
1,2,13,5,5,1,['k'],Y,['k'],N,None,Y,,,,,,,F,20,
1,3,14,5,5,1,['d'],Y,['d'],N,None,Y,,,,,,,F,20,
1,4,15,2,2,1,['k'],N,['d'],N,None,Y,,,,,,,F,20,
1,5,16,1,1,1,['d'],N,['k'],Y,['space'],Y,,,,,,,F,20,
1,6,17,8,8,1,['k'],Y,['k'],Y,None,N,,,,,,,F,20,
1,7,18,2,2,1,['d'],N,['k'],Y,['space'],Y,,,,,,,F,20,
1,8,19,4,4,1,['d'],Y,['d'],Y,None,N,,,,,,,F,20,
1,9,20,5,5,1,['d'],Y,['d'],Y,None,N,,,,,,,F,20,
1,10,21,10,10,1,['k'],Y,['k'],Y,None,N,,,,,,,F,20,
2,0,22,7,7,1,['d'],Y,['d'],Y,['space'],Y,,,,,,,F,20,
2,1,23,10,10,1,['d'],Y,['d'],N,None,Y,,,,,,,F,20,
2,2,24,1,1,1,['d'],N,['k'],Y,['space'],Y,,,,,,,F,20,
2,3,25,0,0,1,['d'],Y,['d'],N,None,Y,,,,,,,F,20,
2,4,26,10,10,1,['d'],N,['k'],N,['space'],N,,,,,,,F,20,
2,5,27,2,2,1,['k'],N,['d'],N,None,Y,,,,,,,F,20,
2,6,28,8,8,1,['d'],N,['k'],Y,['space'],Y,,,,,,,F,20,
2,7,29,1,1,1,['d'],N,['k'],N,None,Y,,,,,,,F,20,
2,8,30,2,2,1,['k'],N,['d'],N,None,Y,,,,,,,F,20,
2,9,31,3,3,1,['d'],N,['k'],Y,['d'],N,,,,,,,F,20,
2,10,32,6,6,1,['k'],N,['d'],Y,None,N,,,,,,,F,20,
3,0,33,8,8,1,['k'],N,['d'],N,None,Y,,,,,,,F,20,
3,1,34,7,7,1,['d'],N,['k'],Y,['space'],Y,,,,,,,F,20,
3,2,35,5,5,1,['d'],Y,['d'],N,None,Y,,,,,,,F,20,
3,3,36,0,0,1,['k'],Y,['k'],Y,None,N,,,,,,,F,20,
3,4,37,7,7,1,['d'],Y,['d'],Y,None,N,,,,,,,F,20,
3,5,38,1,1,1,['k'],Y,['k'],N,None,Y,,,,,,,F,20,
3,6,39,7,7,1,['d'],N,['k'],Y,['space'],Y,,,,,,,F,20,
3,7,40,9,9,1,['k'],Y,['k'],Y,None,N,,,,,,,F,20,
3,8,41,10,10,1,['d'],N,['k'],N,None,Y,,,,,,,F,20,
3,9,42,1,1,1,['k'],Y,['k'],Y,['space'],Y,,,,,,,F,20,
3,10,43,3,3,1,['d'],Y,['d'],N,None,Y,,,,,,,F,20,
4,0,44,8,8,1,['k'],Y,['k'],N,None,Y,,,,,,,F,20,
4,1,45,8,8,1,['d'],Y,['d'],Y,['space'],Y,,,,,,,F,20,
4,2,46,2,2,1,['k'],N,['d'],N,None,Y,,,,,,,F,20,
4,3,47,5,5,1,['d'],Y,['d'],Y,['space'],Y,,,,,,,F,20,
4,4,48,9,9,1,['d'],Y,['d'],N,None,Y,,,,,,,F,20,
4,5,49,9,9,1,['d'],N,['k'],N,['space'],N,24,32,24,,,,F,20,
4,6,50,2,2,2,['d'],N,['k'],,,,,,,,,,F,20,
4,7,51,6,6,2,['k'],N,['d'],,,,,,,,,,F,20,
4,8,52,10,10,2,['k'],Y,['k'],Y,['space'],Y,,,,,,,F,20,
4,9,53,2,2,2,['d'],Y,['d'],Y,['space'],Y,,,,,,,F,20,
4,10,54,2,2,2,['d'],N,['k'],Y,['space'],Y,,,,,,,F,20,
5,0,55,10,10,2,['k'],N,['d'],N,None,Y,,,,,,,F,20,
5,1,56,10,10,2,['d'],Y,['d'],N,None,Y,,,,,,,F,20,
5,2,57,0,0,2,['k'],Y,['k'],Y,['space'],Y,,,,,,,F,20,
5,3,58,10,10,2,['d'],N,['k'],N,None,Y,,,,,,,F,20,
5,4,59,8,8,2,['d'],Y,['d'],Y,['space'],Y,,,,,,,F,20,
5,5,60,9,9,2,['k'],Y,['k'],N,None,Y,,,,,,,F,20,
5,6,61,4,4,2,['d'],N,['k'],Y,None,N,,,,,,,F,20,
5,7,62,1,1,2,['k'],Y,['k'],N,None,Y,,,,,,,F,20,
5,8,63,5,5,2,['d'],Y,['d'],N,None,Y,,,,,,,F,20,
5,9,64,7,7,2,['k'],N,['d'],Y,['space'],Y,,,,,,,F,20,
5,10,65,7,7,2,['d'],Y,['d'],N,None,Y,,,,,,,F,20,
6,0,66,5,5,2,['d'],N,['k'],N,None,Y,,,,,,,F,20,
6,1,67,6,6,2,['k'],Y,['k'],N,None,Y,,,,,,,F,20,
6,2,68,2,2,2,['d'],N,['k'],N,None,Y,,,,,,,F,20,
6,3,69,1,1,2,['k'],N,['d'],N,None,Y,,,,,,,F,20,
6,4,70,1,1,2,['d'],Y,['d'],N,None,Y,,,,,,,F,20,
6,5,71,0,0,2,['d'],N,['k'],N,None,Y,,,,,,,F,20,
6,6,72,8,8,2,['k'],Y,['k'],Y,['space'],Y,,,,,,,F,20,
6,7,73,8,8,2,['d'],N,['k'],N,None,Y,,,,,,,F,20,
6,8,74,2,2,2,['k'],Y,['k'],Y,['k'],N,,,,,,,F,20,
6,9,75,4,4,2,['d'],N,['k'],Y,None,N,,,,,,,F,20,
6,10,76,4,4,2,['k'],Y,['k'],N,None,Y,,,,,,,F,20,
7,0,77,7,7,2,['d'],N,['k'],N,None,Y,,,,,,,F,20,
7,1,78,3,3,2,['k'],Y,['k'],N,None,Y,,,,,,,F,20,
7,2,79,1,1,2,['d'],N,['k'],Y,['space'],Y,,,,,,,F,20,
7,3,80,0,0,2,['k'],N,['d'],N,None,Y,,,,,,,F,20,
7,4,81,8,8,2,['k'],Y,['k'],N,['d'],N,,,,,,,F,20,
7,5,82,6,6,2,['d'],N,['k'],Y,['space'],Y,,,,,,,F,20,
7,6,83,1,1,2,['k'],N,['d'],N,None,Y,,,,,,,F,20,
7,7,84,1,1,2,['d'],Y,['d'],Y,None,N,,,,,,,F,20,
7,8,85,1,1,2,['k'],Y,['k'],Y,None,N,,,,,,,F,20,
7,9,86,1,1,2,['d'],Y,['d'],Y,None,N,,,,,,,F,20,
7,10,87,10,10,2,['k'],Y,['k'],N,None,Y,,,,,,,F,20,
8,0,88,9,9,2,['d'],Y,['d'],Y,['space'],Y,,,,,,,F,20,
8,1,89,6,6,2,['k'],Y,['k'],N,None,Y,,,,,,,F,20,
8,2,90,0,0,2,['d'],N,['k'],Y,['space'],Y,,,,,,,F,20,
8,3,91,7,7,2,['k'],N,['d'],Y,None,N,,,,,,,F,20,
8,4,92,5,5,2,['k'],Y,['k'],Y,None,N,,,,,,,F,20,
8,5,93,1,1,2,['d'],Y,['d'],Y,['d'],N,,,,,,,F,20,
8,6,94,4,4,2,['k'],N,['d'],Y,None,N,,,,,,,F,20,
8,7,95,3,3,2,['d'],Y,['d'],Y,None,N,,,,,,,F,20,
8,8,96,7,7,2,['k'],N,['d'],Y,None,N,,,,,,,F,20,
8,9,97,2,2,2,['d'],Y,['d'],Y,None,N,,,,,,,F,20,
8,10,98,3,3,2,['k'],N,['d'],Y,None,N,,,,,,,F,20,
9,0,99,6,6,2,['d'],N,['k'],N,['space'],N,26,32,25,,,,F,20,
9,1,100,6,6,3,['k'],N,['d'],,,,,,,,,,F,20,
9,2,101,3,3,3,['k'],N,['d'],,,,,,,,,,F,20,
9,3,102,9,9,3,['d'],Y,['d'],Y,['space'],Y,,,,,,,F,20,
9,4,103,7,7,3,['d'],N,['k'],N,None,Y,,,,,,,F,20,
9,5,104,9,9,3,['k'],Y,['k'],N,None,Y,,,,,,,F,20,
9,6,105,2,2,3,['d'],Y,['d'],N,None,Y,,,,,,,F,20,
9,7,106,7,7,3,['d'],Y,['d'],N,['space'],N,,,,,,,F,20,
9,8,107,8,8,3,['k'],Y,['k'],Y,None,N,,,,,,,F,20,
9,9,108,2,2,3,['d'],N,['k'],Y,['space'],Y,,,,,,,F,20,
9,10,109,1,1,3,['k'],Y,['k'],N,None,Y,,,,,,,F,20,
