.thisRepN,.thisTrialN,.thisN,.thisIndex,.thisTrial,Block Number,Key pressed,Correct?,Int Match?,Int Response,Int Correct?,Category,Line Accuracy,Interference Accuracy,Matching Interferences,New instruction shown?,Buttons switched?,Fast?,gender,age,
0,0,0,0,0,1,None,Timed out,,,,,,,,,,,f,19,
0,1,1,9,9,1,None,Timed out,,,,,,,,,,,f,19,
0,2,2,7,7,1,None,Timed out,Y,None,N,,,,,,,,f,19,
0,3,3,2,2,1,['d'],Y,N,None,Y,['d'],,,,,,,f,19,
0,4,4,6,6,1,['d'],Y,Y,None,N,['d'],,,,,,,f,19,
0,5,5,8,8,1,['k'],N,N,None,Y,['d'],,,,,,,f,19,
0,6,6,9,9,1,['d'],N,N,None,Y,['k'],,,,,,,f,19,
0,7,7,3,3,1,['d'],Y,N,None,Y,['d'],,,,,,,f,19,
0,8,8,5,5,1,['k'],Y,N,None,Y,['k'],,,,,,,f,19,
0,9,9,8,8,1,['d'],N,N,None,Y,['k'],,,,,,,f,19,
0,10,10,1,1,1,['d'],Y,N,None,Y,['d'],,,,,,,f,19,
1,0,11,7,7,1,['d'],N,Y,None,N,['k'],,,,,,,f,19,
1,1,12,10,10,1,['d'],N,N,None,Y,['k'],,,,,,,f,19,
1,2,13,8,8,1,['k'],N,Y,None,N,['d'],,,,,,,f,19,
1,3,14,10,10,1,['d'],Y,N,None,Y,['d'],,,,,,,f,19,
1,4,15,7,7,1,['d'],Y,N,None,Y,['d'],,,,,,,f,19,
1,5,16,7,7,1,['k'],N,Y,None,N,['d'],,,,,,,f,19,
1,6,17,7,7,1,['k'],Y,N,None,Y,['k'],,,,,,,f,19,
1,7,18,0,0,1,['d'],N,N,None,Y,['k'],,,,,,,f,19,
1,8,19,9,9,1,['k'],N,Y,None,N,['d'],,,,,,,f,19,
1,9,20,3,3,1,['d'],Y,N,None,Y,['d'],,,,,,,f,19,
1,10,21,6,6,1,['k'],Y,N,None,Y,['k'],,,,,,,f,19,
2,0,22,4,4,1,['d'],N,Y,None,N,['k'],,,,,,,f,19,
2,1,23,10,10,1,['k'],Y,N,None,Y,['k'],,,,,,,f,19,
2,2,24,8,8,1,['d'],N,N,None,Y,['k'],,,,,,,f,19,
2,3,25,2,2,1,None,Timed out,Y,None,N,,,,,,,,f,19,
2,4,26,10,10,1,['k'],N,Y,None,N,['d'],,,,,,,f,19,
2,5,27,7,7,1,['d'],Y,Y,None,N,['d'],,,,,,,f,19,
2,6,28,7,7,1,['k'],Y,N,None,Y,['k'],,,,,,,f,19,
2,7,29,6,6,1,['d'],Y,Y,None,N,['d'],,,,,,,f,19,
2,8,30,9,9,1,['d'],N,N,None,Y,['k'],,,,,,,f,19,
2,9,31,8,8,1,['d'],N,Y,None,N,['k'],,,,,,,f,19,
2,10,32,0,0,1,['k'],Y,Y,None,N,['k'],,,,,,,f,19,
3,0,33,0,0,1,['k'],Y,N,None,Y,['k'],,,,,,,f,19,
3,1,34,7,7,1,['k'],N,N,None,Y,['d'],,,,,,,f,19,
3,2,35,9,9,1,['d'],Y,N,None,Y,['d'],,,,,,,f,19,
