.thisRepN,.thisTrialN,.thisN,.thisIndex,.thisTrial,Block Number,Key pressed,Category,Correct?,Int Match?,Int Response,Int Correct?,Line Accuracy,Interference Accuracy,Matching Interferences,New instruction shown?,Buttons switched?,Fast?,gender,age,
0,0,0,2,2,1,['k'],['d'],N,,,,,,,,,,F,23,
0,1,1,0,0,1,['d'],['k'],N,,,,,,,,,,F,23,
0,2,2,5,5,1,['d'],['d'],Y,Y,['space'],Y,,,,,,,F,23,
0,3,3,6,6,1,['k'],['k'],Y,N,None,Y,,,,,,,F,23,
0,4,4,10,10,1,['d'],['d'],Y,Y,None,N,,,,,,,F,23,
0,5,5,9,9,1,['d'],['k'],N,Y,['space'],Y,,,,,,,F,23,
0,6,6,8,8,1,['d'],['k'],N,Y,None,N,,,,,,,F,23,
0,7,7,5,5,1,['k'],['d'],N,Y,['space'],Y,,,,,,,F,23,
0,8,8,2,2,1,['k'],['d'],N,Y,['space'],Y,,,,,,,F,23,
0,9,9,6,6,1,['d'],['d'],Y,N,None,Y,,,,,,,F,23,
0,10,10,10,10,1,['d'],['k'],N,Y,['space'],Y,,,,,,,F,23,
1,0,11,0,0,1,['d'],['d'],Y,N,['space'],N,,,,,,,F,23,
1,1,12,2,2,1,['d'],['k'],N,N,None,Y,,,,,,,F,23,
1,2,13,1,1,1,['k'],['k'],Y,N,None,Y,,,,,,,F,23,
1,3,14,7,7,1,['d'],['d'],Y,N,None,Y,,,,,,,F,23,
1,4,15,4,4,1,['k'],['d'],N,Y,['space'],Y,,,,,,,F,23,
1,5,16,10,10,1,['d'],['k'],N,Y,['space'],Y,,,,,,,F,23,
1,6,17,5,5,1,['k'],['d'],N,N,None,Y,,,,,,,F,23,
1,7,18,7,7,1,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,23,
1,8,19,8,8,1,['k'],['d'],N,Y,['space'],Y,,,,,,,F,23,
1,9,20,4,4,1,['d'],['d'],Y,Y,None,N,,,,,,,F,23,
1,10,21,10,10,1,['k'],['k'],Y,N,None,Y,,,,,,,F,23,
2,0,22,10,10,1,['d'],['d'],Y,Y,None,N,,,,,,,F,23,
2,1,23,8,8,1,['k'],['k'],Y,N,None,Y,,,,,,,F,23,
2,2,24,5,5,1,['d'],['k'],N,Y,['space'],Y,,,,,,,F,23,
2,3,25,1,1,1,['k'],['k'],Y,Y,None,N,,,,,,,F,23,
2,4,26,10,10,1,['d'],['k'],N,N,None,Y,,,,,,,F,23,
2,5,27,10,10,1,['k'],['d'],N,Y,None,N,,,,,,,F,23,
2,6,28,8,8,1,['k'],['d'],N,N,None,Y,,,,,,,F,23,
2,7,29,10,10,1,['k'],['d'],N,Y,['space'],Y,,,,,,,F,23,
2,8,30,4,4,1,['k'],['k'],Y,N,None,Y,,,,,,,F,23,
2,9,31,1,1,1,['d'],['k'],N,N,None,Y,,,,,,,F,23,
2,10,32,7,7,1,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,23,
3,0,33,2,2,1,['k'],['k'],Y,N,None,Y,,,,,,,F,23,
3,1,34,0,0,1,['d'],['k'],N,Y,['space'],Y,,,,,,,F,23,
3,2,35,8,8,1,['k'],['d'],N,N,None,Y,,,,,,,F,23,
3,3,36,7,7,1,['k'],['k'],Y,N,None,Y,,,,,,,F,23,
3,4,37,6,6,1,['k'],['d'],N,Y,None,N,,,,,,,F,23,
3,5,38,1,1,1,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,23,
3,6,39,6,6,1,['d'],['d'],Y,Y,None,N,,,,,,,F,23,
3,7,40,2,2,1,['d'],['d'],Y,N,None,Y,,,,,,,F,23,
3,8,41,0,0,1,['k'],['k'],Y,Y,None,N,,,,,,,F,23,
3,9,42,1,1,1,['k'],['k'],Y,N,None,Y,,,,,,,F,23,
3,10,43,4,4,1,['k'],['k'],Y,N,None,Y,,,,,,,F,23,
4,0,44,9,9,1,['k'],['d'],N,N,None,Y,,,,,,,F,23,
4,1,45,1,1,1,['k'],['d'],N,Y,None,N,,,,,,,F,23,
4,2,46,3,3,1,['d'],['k'],N,N,None,Y,,,,,,,F,23,
4,3,47,7,7,1,['k'],['k'],Y,N,None,Y,,,,,,,F,23,
4,4,48,5,5,1,['k'],['d'],N,Y,None,N,,,,,,,F,23,
4,5,49,0,0,1,['d'],['d'],Y,N,None,Y,25,36,25,,,,F,23,
4,6,50,8,8,2,['d'],['k'],N,,,,,,,,,,F,23,
4,7,51,7,7,2,['d'],['d'],Y,,,,,,,,,,F,23,
4,8,52,4,4,2,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,23,
4,9,53,3,3,2,['k'],['d'],N,N,None,Y,,,,,,,F,23,
4,10,54,4,4,2,['d'],['k'],N,Y,None,N,,,,,,,F,23,
5,0,55,0,0,2,['d'],['k'],N,N,None,Y,,,,,,,F,23,
5,1,56,0,0,2,['k'],['d'],N,N,None,Y,,,,,,,F,23,
5,2,57,9,9,2,['d'],['k'],N,N,None,Y,,,,,,,F,23,
