.thisRepN,.thisTrialN,.thisN,.thisIndex,.thisTrial,Block Number,Key pressed,Category,Correct?,Int Match?,Int Response,Int Correct?,Line Accuracy,Interference Accuracy,Matching Interferences,New instruction shown?,Buttons switched?,Fast?,gender,age,
0,0,0,8,8,1,['k'],['d'],N,,,,,,,,,,F,20,
0,1,1,4,4,1,['d'],['k'],N,,,,,,,,,,F,20,
0,2,2,6,6,1,['k'],['d'],N,N,None,Y,,,,,,,F,20,
0,3,3,1,1,1,['k'],['k'],Y,N,None,Y,,,,,,,F,20,
0,4,4,5,5,1,['k'],['k'],Y,N,None,Y,,,,,,,F,20,
0,5,5,6,6,1,['d'],['k'],N,Y,None,N,,,,,,,F,20,
0,6,6,2,2,1,['d'],['k'],N,Y,['space'],Y,,,,,,,F,20,
0,7,7,10,10,1,['k'],['d'],N,Y,['space'],Y,,,,,,,F,20,
0,8,8,8,8,1,['k'],['d'],N,N,None,Y,,,,,,,F,20,
0,9,9,7,7,1,['k'],['d'],N,Y,None,N,,,,,,,F,20,
0,10,10,9,9,1,['k'],['d'],N,N,None,Y,,,,,,,F,20,
1,0,11,1,1,1,['k'],['k'],Y,N,None,Y,,,,,,,F,20,
1,1,12,1,1,1,['k'],['k'],Y,N,['space'],N,,,,,,,F,20,
1,2,13,6,6,1,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,20,
1,3,14,4,4,1,['k'],['d'],N,Y,None,N,,,,,,,F,20,
1,4,15,9,9,1,['k'],['k'],Y,N,None,Y,,,,,,,F,20,
1,5,16,4,4,1,['d'],['d'],Y,Y,['space'],Y,,,,,,,F,20,
1,6,17,4,4,1,['k'],['d'],N,N,None,Y,,,,,,,F,20,
1,7,18,3,3,1,['d'],['k'],N,Y,['space'],Y,,,,,,,F,20,
1,8,19,0,0,1,['k'],['d'],N,N,None,Y,,,,,,,F,20,
1,9,20,4,4,1,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,20,
1,10,21,2,2,1,['d'],['d'],Y,Y,['space'],Y,,,,,,,F,20,
2,0,22,0,0,1,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,20,
2,1,23,8,8,1,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,20,
2,2,24,0,0,1,['k'],['k'],Y,N,['space'],N,,,,,,,F,20,
2,3,25,3,3,1,['k'],['k'],Y,N,None,Y,,,,,,,F,20,
2,4,26,8,8,1,['k'],['d'],N,Y,['space'],Y,,,,,,,F,20,
2,5,27,5,5,1,['k'],['k'],Y,N,None,Y,,,,,,,F,20,
2,6,28,0,0,1,['d'],['d'],Y,N,None,Y,,,,,,,F,20,
2,7,29,8,8,1,['d'],['d'],Y,N,['space'],N,,,,,,,F,20,
2,8,30,5,5,1,['k'],['k'],Y,N,None,Y,,,,,,,F,20,
2,9,31,3,3,1,['d'],['d'],Y,N,['space'],N,,,,,,,F,20,
2,10,32,1,1,1,['d'],['d'],Y,Y,['space'],Y,,,,,,,F,20,
3,0,33,5,5,1,['d'],['d'],Y,N,None,Y,,,,,,,F,20,
3,1,34,6,6,1,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,20,
3,2,35,3,3,1,['d'],['d'],Y,Y,['space'],Y,,,,,,,F,20,
3,3,36,4,4,1,['k'],['d'],N,N,None,Y,,,,,,,F,20,
3,4,37,7,7,1,['k'],['k'],Y,N,None,Y,,,,,,,F,20,
3,5,38,5,5,1,['d'],['d'],Y,Y,None,N,,,,,,,F,20,
3,6,39,2,2,1,['k'],['k'],Y,N,['space'],N,,,,,,,F,20,
3,7,40,3,3,1,['d'],['d'],Y,N,None,Y,,,,,,,F,20,
3,8,41,2,2,1,['k'],['k'],Y,N,None,Y,,,,,,,F,20,
3,9,42,6,6,1,['k'],['k'],Y,N,None,Y,,,,,,,F,20,
3,10,43,2,2,1,['d'],['d'],Y,Y,None,N,,,,,,,F,20,
4,0,44,2,2,1,['d'],['d'],Y,N,None,Y,,,,,,,F,20,
4,1,45,0,0,1,['k'],['k'],Y,Y,None,N,,,,,,,F,20,
4,2,46,6,6,1,['d'],['d'],Y,N,None,Y,,,,,,,F,20,
4,3,47,0,0,1,['k'],['k'],Y,Y,None,N,,,,,,,F,20,
4,4,48,10,10,1,['d'],['d'],Y,N,None,Y,,,,,,,F,20,
4,5,49,5,5,1,['k'],['k'],Y,N,None,Y,35,36,20,,,,F,20,
4,6,50,1,1,2,['d'],['k'],N,,,,,,,,,,F,20,
4,7,51,1,1,2,['d'],['d'],Y,,,,,,,,,,F,20,
4,8,52,5,5,2,['d'],['d'],Y,Y,['space'],Y,,,,,,,F,20,
4,9,53,9,9,2,['k'],['d'],N,N,None,Y,,,,,,,F,20,
4,10,54,10,10,2,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,20,
5,0,55,10,10,2,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,20,
5,1,56,8,8,2,['d'],['d'],Y,Y,None,N,,,,,,,F,20,
5,2,57,1,1,2,['k'],['k'],Y,N,['space'],N,,,,,,,F,20,
5,3,58,1,1,2,['k'],['k'],Y,N,['d'],N,,,,,,,F,20,
5,4,59,0,0,2,['k'],['k'],Y,N,None,Y,,,,,,,F,20,
