.thisRepN,.thisTrialN,.thisN,.thisIndex,.thisTrial,Block Number,Key pressed,Category,Correct?,Int Match?,Int Response,Int Correct?,Line Accuracy,Interference Accuracy,Matching Interferences,New instruction shown?,Buttons switched?,Fast?,gender,age
0,0,0,10,10,1,['k'],['k'],Y,,,,,,,,,,M,18
0,1,1,2,2,1,['k'],['k'],Y,,,,,,,,,,M,18
0,2,2,9,9,1,['k'],['k'],Y,N,None,Y,,,,,,,M,18
0,3,3,2,2,1,['k'],['k'],Y,Y,['space'],Y,,,,,,,M,18
0,4,4,10,10,1,['d'],['d'],Y,N,None,Y,,,,,,,M,18
0,5,5,2,2,1,['d'],['k'],N,N,None,Y,,,,,,,M,18
0,6,6,14,14,1,['d'],['d'],Y,Y,['space'],Y,,,,,,,M,18
0,7,7,4,4,1,['k'],['k'],Y,Y,['space'],Y,,,,,,,M,18
0,8,8,11,11,1,['d'],['k'],N,Y,None,N,,,,,,,M,18
0,9,9,10,10,1,['k'],['k'],Y,N,None,Y,,,,,,,M,18
0,10,10,1,1,1,['k'],['d'],N,N,None,Y,,,,,,,M,18
0,11,11,5,5,1,['d'],['d'],Y,N,['space'],N,,,,,,,M,18
0,12,12,0,0,1,['k'],['k'],Y,Y,['space'],Y,,,,,,,M,18
0,13,13,6,6,1,['d'],['d'],Y,Y,None,N,,,,,,,M,18
0,14,14,4,4,1,['k'],['d'],N,Y,None,N,,,,,,,M,18
1,0,15,14,14,1,['k'],['k'],Y,N,None,Y,,,,,,,M,18
1,1,16,3,3,1,['d'],['d'],Y,Y,['space'],Y,,,,,,,M,18
1,2,17,5,5,1,['d'],['d'],Y,N,['space'],N,,,,,,,M,18
1,3,18,9,9,1,['k'],['k'],Y,N,None,Y,,,,,,,M,18
1,4,19,2,2,1,['k'],['k'],Y,N,None,Y,,,,,,,M,18
1,5,20,3,3,1,['d'],['d'],Y,Y,None,N,,,,,,,M,18
1,6,21,1,1,1,['d'],['d'],Y,Y,None,N,,,,,,,M,18
1,7,22,5,5,1,['d'],['k'],N,N,None,Y,,,,,,,M,18
1,8,23,13,13,1,['k'],['k'],Y,N,None,Y,,,,,,,M,18
1,9,24,6,6,1,['k'],['k'],Y,N,None,Y,,,,,,,M,18
1,10,25,9,9,1,['d'],['d'],Y,N,None,Y,,,,,,,M,18
1,11,26,12,12,1,['d'],['d'],Y,N,None,Y,,,,,,,M,18
1,12,27,3,3,1,['k'],['k'],Y,N,None,Y,,,,,,,M,18
1,13,28,12,12,1,['d'],['d'],Y,N,None,Y,,,,,,,M,18
1,14,29,4,4,1,['k'],['k'],Y,Y,None,N,,,,,,,M,18
2,0,30,14,14,1,['k'],['k'],Y,N,None,Y,,,,,,,M,18
2,1,31,6,6,1,['k'],['k'],Y,Y,None,N,,,,,,,M,18
2,2,32,8,8,1,['d'],['d'],Y,N,None,Y,,,,,,,M,18
2,3,33,0,0,1,['k'],['k'],Y,Y,['space'],Y,,,,,,,M,18
2,4,34,5,5,1,['k'],['k'],Y,Y,['space'],Y,,,,,,,M,18
2,5,35,8,8,1,['d'],['d'],Y,N,None,Y,,,,,,,M,18
2,6,36,0,0,1,['k'],['d'],N,Y,None,N,,,,,,,M,18
2,7,37,4,4,1,['k'],['k'],Y,Y,['space'],Y,,,,,,,M,18
2,8,38,12,12,1,['d'],['d'],Y,Y,['space'],Y,,,,,,,M,18
2,9,39,1,1,1,['d'],['d'],Y,N,None,Y,,,,,,,M,18
2,10,40,0,0,1,['k'],['k'],Y,Y,['space'],Y,,,,,,,M,18
2,11,41,0,0,1,['d'],['d'],Y,N,None,Y,,,,,,,M,18
2,12,42,0,0,1,['d'],['d'],Y,Y,['space'],Y,,,,,,,M,18
2,13,43,5,5,1,['d'],['d'],Y,N,None,Y,,,,,,,M,18
2,14,44,0,0,1,['k'],['k'],Y,Y,['space'],Y,,,,,,,M,18
3,0,45,0,0,1,['k'],['k'],Y,Y,None,N,,,,,,,M,18
3,1,46,11,11,1,['k'],['k'],Y,Y,['space'],Y,,,,,,,M,18
3,2,47,8,8,1,['d'],['d'],Y,Y,['space'],Y,,,,,,,M,18
3,3,48,12,12,1,['k'],['d'],N,Y,['space'],Y,,,,,,,M,18
3,4,49,11,11,1,['k'],['k'],Y,N,None,Y,43,37,24,,,,M,18
3,5,50,13,13,2,['k'],['d'],N,,,,,,,,,,M,18
3,6,51,3,3,2,['k'],['d'],N,,,,,,,,,,M,18
3,7,52,7,7,2,['k'],['k'],Y,Y,['space'],Y,,,,,,,M,18
3,8,53,11,11,2,['k'],['k'],Y,Y,['space'],Y,,,,,,,M,18
3,9,54,10,10,2,['k'],['k'],Y,Y,None,N,,,,,,,M,18
3,10,55,7,7,2,['k'],['k'],Y,N,None,Y,,,,,,,M,18
3,11,56,9,9,2,['k'],['k'],Y,N,None,Y,,,,,,,M,18
3,12,57,9,9,2,['d'],['d'],Y,N,['space'],N,,,,,,,M,18
3,13,58,13,13,2,['k'],['d'],N,Y,None,N,,,,,,,M,18
3,14,59,11,11,2,['k'],['k'],Y,Y,['space'],Y,,,,,,,M,18
4,0,60,10,10,2,['d'],['d'],Y,N,None,Y,,,,,,,M,18
4,1,61,2,2,2,['d'],['k'],N,Y,['space'],Y,,,,,,,M,18
4,2,62,2,2,2,['d'],['d'],Y,Y,['space'],Y,,,,,,,M,18
4,3,63,7,7,2,['k'],['k'],Y,Y,['space'],Y,,,,,,,M,18
4,4,64,11,11,2,['k'],['k'],Y,Y,['space'],Y,,,,,,,M,18
4,5,65,1,1,2,['k'],['k'],Y,N,None,Y,,,,,,,M,18
4,6,66,3,3,2,['k'],['k'],Y,N,None,Y,,,,,,,M,18
4,7,67,8,8,2,['k'],['k'],Y,Y,['space'],Y,,,,,,,M,18
4,8,68,14,14,2,['d'],['d'],Y,Y,['space'],Y,,,,,,,M,18
4,9,69,3,3,2,['k'],['k'],Y,Y,None,N,,,,,,,M,18
4,10,70,0,0,2,['d'],['d'],Y,Y,None,N,,,,,,,M,18
4,11,71,7,7,2,['k'],['d'],N,N,None,Y,,,,,,,M,18
4,12,72,3,3,2,['k'],['k'],Y,Y,['space'],Y,,,,,,,M,18
4,13,73,1,1,2,['k'],['k'],Y,Y,['space'],Y,,,,,,,M,18
4,14,74,6,6,2,['d'],['d'],Y,Y,None,N,,,,,,,M,18
5,0,75,9,9,2,['d'],['d'],Y,N,None,Y,,,,,,,M,18
5,1,76,7,7,2,['d'],['d'],Y,Y,None,N,,,,,,,M,18
5,2,77,7,7,2,['k'],['d'],N,Y,['space'],Y,,,,,,,M,18
5,3,78,2,2,2,['k'],['k'],Y,N,None,Y,,,,,,,M,18
5,4,79,3,3,2,['k'],['k'],Y,N,['space'],N,,,,,,,M,18
5,5,80,14,14,2,['k'],['k'],Y,N,None,Y,,,,,,,M,18
5,6,81,14,14,2,['k'],['d'],N,Y,None,N,,,,,,,M,18
5,7,82,12,12,2,['d'],['d'],Y,Y,None,N,,,,,,,M,18
5,8,83,4,4,2,['k'],['d'],N,Y,['space'],Y,,,,,,,M,18
5,9,84,7,7,2,['d'],['d'],Y,N,['space'],N,,,,,,,M,18
5,10,85,14,14,2,['d'],['d'],Y,N,['space'],N,,,,,,,M,18
5,11,86,10,10,2,['d'],['d'],Y,Y,['space'],Y,,,,,,,M,18
5,12,87,6,6,2,['d'],['d'],Y,N,None,Y,,,,,,,M,18
5,13,88,4,4,2,['d'],['d'],Y,Y,['space'],Y,,,,,,,M,18
5,14,89,12,12,2,['d'],['d'],Y,Y,['space'],Y,,,,,,,M,18
6,0,90,9,9,2,['k'],['k'],Y,N,None,Y,,,,,,,M,18
6,1,91,4,4,2,['d'],['d'],Y,N,None,Y,,,,,,,M,18
6,2,92,6,6,2,['k'],['k'],Y,Y,['space'],Y,,,,,,,M,18
6,3,93,7,7,2,['d'],['d'],Y,N,None,Y,,,,,,,M,18
6,4,94,9,9,2,['k'],['k'],Y,N,None,Y,,,,,,,M,18
6,5,95,9,9,2,['k'],['k'],Y,N,None,Y,,,,,,,M,18
6,6,96,2,2,2,['d'],['d'],Y,N,None,Y,,,,,,,M,18
6,7,97,4,4,2,['k'],['k'],Y,N,None,Y,,,,,,,M,18
6,8,98,10,10,2,['k'],['k'],Y,N,None,Y,,,,,,,M,18
6,9,99,6,6,2,['d'],['k'],N,N,None,Y,41,36,25,,,,M,18
6,10,100,9,9,3,['d'],['d'],Y,,,,,,,,,,M,18
6,11,101,9,9,3,['k'],['k'],Y,,,,,,,,,,M,18
6,12,102,7,7,3,['d'],['d'],Y,Y,['space'],Y,,,,,,,M,18
6,13,103,13,13,3,['k'],['k'],Y,N,None,Y,,,,,,,M,18
6,14,104,4,4,3,['k'],['d'],N,N,None,Y,,,,,,,M,18
7,0,105,14,14,3,['k'],['d'],N,Y,['space'],Y,,,,,,,M,18
7,1,106,12,12,3,['k'],['k'],Y,N,None,Y,,,,,,,M,18
7,2,107,13,13,3,['k'],['k'],Y,Y,None,N,,,,,,,M,18
7,3,108,5,5,3,['k'],['k'],Y,N,None,Y,,,,,,,M,18
7,4,109,13,13,3,['k'],['k'],Y,N,None,Y,,,,,,,M,18
7,5,110,8,8,3,['k'],['k'],Y,N,None,Y,,,,,,,M,18
7,6,111,7,7,3,['k'],['k'],Y,N,None,Y,,,,,,,M,18
7,7,112,10,10,3,['k'],['k'],Y,Y,['space'],Y,,,,,,,M,18
7,8,113,9,9,3,['k'],['k'],Y,N,None,Y,,,,,,,M,18
7,9,114,1,1,3,['k'],['k'],Y,Y,['space'],Y,,,,,,,M,18
7,10,115,6,6,3,['d'],['d'],Y,Y,['space'],Y,,,,,,,M,18
7,11,116,5,5,3,['k'],['k'],Y,N,None,Y,,,,,,,M,18
7,12,117,10,10,3,['k'],['k'],Y,N,None,Y,,,,,,,M,18
7,13,118,11,11,3,['d'],['d'],Y,Y,['space'],Y,,,,,,,M,18
7,14,119,9,9,3,['d'],['d'],Y,Y,['space'],Y,,,,,,,M,18
8,0,120,8,8,3,['d'],['d'],Y,N,None,Y,,,,,,,M,18
8,1,121,4,4,3,['k'],['d'],N,Y,['space'],Y,,,,,,,M,18
8,2,122,1,1,3,['d'],['d'],Y,Y,['space'],Y,,,,,,,M,18
8,3,123,1,1,3,['k'],['k'],Y,Y,['space'],Y,,,,,,,M,18
8,4,124,12,12,3,['k'],['k'],Y,Y,['space'],Y,,,,,,,M,18
8,5,125,13,13,3,['k'],['d'],N,N,None,Y,,,,,,,M,18
8,6,126,6,6,3,['d'],['k'],N,N,None,Y,,,,,,,M,18
8,7,127,0,0,3,['k'],['d'],N,Y,['space'],Y,,,,,,,M,18
8,8,128,5,5,3,['k'],['k'],Y,N,None,Y,,,,,,,M,18
8,9,129,6,6,3,['k'],['k'],Y,N,['space'],N,,,,,,,M,18
8,10,130,13,13,3,['d'],['d'],Y,N,['space'],N,,,,,,,M,18
8,11,131,7,7,3,['k'],['k'],Y,Y,['space'],Y,,,,,,,M,18
8,12,132,8,8,3,['d'],['d'],Y,N,['space'],N,,,,,,,M,18
8,13,133,6,6,3,['k'],['d'],N,N,None,Y,,,,,,,M,18
8,14,134,12,12,3,['k'],['d'],N,N,None,Y,,,,,,,M,18
9,0,135,8,8,3,['d'],['d'],Y,Y,['space'],Y,,,,,,,M,18
9,1,136,3,3,3,['d'],['d'],Y,Y,['space'],Y,,,,,,,M,18
9,2,137,1,1,3,['d'],['k'],N,N,None,Y,,,,,,,M,18
9,3,138,4,4,3,['k'],['k'],Y,N,None,Y,,,,,,,M,18
9,4,139,12,12,3,['d'],['d'],Y,N,None,Y,,,,,,,M,18
9,5,140,5,5,3,['k'],['k'],Y,Y,['space'],Y,,,,,,,M,18
9,6,141,3,3,3,['d'],['d'],Y,N,None,Y,,,,,,,M,18
9,7,142,13,13,3,['d'],['d'],Y,N,None,Y,,,,,,,M,18
9,8,143,3,3,3,['k'],['k'],Y,Y,None,N,,,,,,,M,18
9,9,144,6,6,3,['k'],['d'],N,Y,['space'],Y,,,,,,,M,18
9,10,145,3,3,3,['d'],['d'],Y,Y,['space'],Y,,,,,,,M,18
9,11,146,6,6,3,['k'],['k'],Y,Y,['space'],Y,,,,,,,M,18
9,12,147,3,3,3,['d'],['d'],Y,N,None,Y,,,,,,,M,18
9,13,148,0,0,3,['k'],['k'],Y,Y,['space'],Y,,,,,,,M,18
9,14,149,13,13,3,['d'],['d'],Y,N,None,Y,40,43,22,,,,M,18
10,0,150,7,7,4,['d'],['d'],Y,,,,,,,,,,M,18
10,1,151,13,13,4,['k'],['k'],Y,,,,,,,,,,M,18
10,2,152,9,9,4,['k'],['d'],N,Y,['space'],Y,,,,,,,M,18
10,3,153,3,3,4,['k'],['k'],Y,N,None,Y,,,,,,,M,18
10,4,154,8,8,4,['k'],['k'],Y,N,['space'],N,,,,,,,M,18
10,5,155,0,0,4,['d'],['d'],Y,Y,['space'],Y,,,,,,,M,18
10,6,156,8,8,4,['d'],['d'],Y,Y,['space'],Y,,,,,,,M,18
10,7,157,11,11,4,['k'],['k'],Y,Y,['space'],Y,,,,,,,M,18
10,8,158,7,7,4,['d'],['d'],Y,Y,['space'],Y,,,,,,,M,18
10,9,159,7,7,4,['d'],['d'],Y,Y,['space'],Y,,,,,,,M,18
10,10,160,10,10,4,['k'],['k'],Y,N,None,Y,,,,,,,M,18
10,11,161,0,0,4,['d'],['d'],Y,Y,['space'],Y,,,,,,,M,18
10,12,162,2,2,4,['d'],['d'],Y,Y,['space'],Y,,,,,,,M,18
10,13,163,11,11,4,['k'],['k'],Y,N,None,Y,,,,,,,M,18
10,14,164,7,7,4,['k'],['k'],Y,N,None,Y,,,,,,,M,18
11,0,165,6,6,4,['d'],['d'],Y,Y,['space'],Y,,,,,,,M,18
