.thisRepN,.thisTrialN,.thisN,.thisIndex,.thisTrial,Block Number,Key pressed,Category,Correct?,Int Match?,Int Response,Int Correct?,Line Accuracy,Interference Accuracy,Matching Interferences,New instruction shown?,Buttons switched?,Fast?,gender,age,
0,0,0,10,10,1,['k'],['k'],Y,,,,,,,,,,F,19,
0,1,1,2,2,1,['k'],['k'],Y,,,,,,,,,,F,19,
0,2,2,6,6,1,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,19,
0,3,3,4,4,1,['d'],['d'],Y,Y,['space'],Y,,,,,,,F,19,
0,4,4,7,7,1,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,19,
0,5,5,7,7,1,['k'],['d'],N,N,None,Y,,,,,,,F,19,
0,6,6,4,4,1,['d'],['d'],Y,Y,['space'],Y,,,,,,,F,19,
0,7,7,0,0,1,['d'],['k'],N,N,None,Y,,,,,,,F,19,
0,8,8,2,2,1,['k'],['k'],Y,N,None,Y,,,,,,,F,19,
0,9,9,10,10,1,['k'],['d'],N,Y,['space'],Y,,,,,,,F,19,
0,10,10,0,0,1,['d'],['k'],N,Y,['d'],N,,,,,,,F,19,
1,0,11,5,5,1,['k'],['d'],N,N,['space'],N,,,,,,,F,19,
1,1,12,8,8,1,['k'],['k'],Y,N,['space'],N,,,,,,,F,19,
1,2,13,1,1,1,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,19,
1,3,14,10,10,1,['d'],['d'],Y,N,None,Y,,,,,,,F,19,
1,4,15,5,5,1,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,19,
1,5,16,7,7,1,['k'],['d'],N,N,None,Y,,,,,,,F,19,
1,6,17,8,8,1,['d'],['d'],Y,Y,['space'],Y,,,,,,,F,19,
1,7,18,0,0,1,['k'],['k'],Y,Y,None,N,,,,,,,F,19,
1,8,19,3,3,1,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,19,
1,9,20,1,1,1,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,19,
1,10,21,1,1,1,['d'],['d'],Y,N,None,Y,,,,,,,F,19,
2,0,22,7,7,1,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,19,
