.thisRepN,.thisTrialN,.thisN,.thisIndex,.thisTrial,Block Number,Key pressed,Correct?,Category,Int Match?,Int Response,Int Correct?,Line Accuracy,Interference Accuracy,Matching Interferences,New instruction shown?,Buttons switched?,Fast?,gender,age,
6,9,75,0,0,2,['d'],Y,['d'],Y,None,N,,,,,,,f,22,
6,10,76,9,9,2,['d'],Y,['d'],Y,['space'],Y,,,,,,,f,22,
7,0,77,4,4,2,['k'],Y,['k'],N,None,Y,,,,,,,f,22,
7,1,78,6,6,2,['k'],Y,['k'],Y,['space'],Y,,,,,,,f,22,
7,2,79,3,3,2,['d'],Y,['d'],Y,['space'],Y,,,,,,,f,22,
7,3,80,9,9,2,['k'],Y,['k'],N,None,Y,,,,,,,f,22,
7,4,81,6,6,2,['d'],Y,['d'],N,None,Y,,,,,,,f,22,
7,5,82,8,8,2,['k'],N,['d'],N,None,Y,,,,,,,f,22,
7,6,83,2,2,2,['k'],N,['d'],Y,['space'],Y,,,,,,,f,22,
7,7,84,9,9,2,['d'],Y,['d'],N,None,Y,,,,,,,f,22,
7,8,85,8,8,2,['k'],N,['d'],N,None,Y,,,,,,,f,22,
7,9,86,4,4,2,['k'],Y,['k'],Y,['space'],Y,,,,,,,f,22,
7,10,87,4,4,2,['k'],Y,['k'],Y,['space'],Y,,,,,,,f,22,
8,0,88,3,3,2,['d'],N,['k'],Y,['space'],Y,,,,,,,f,22,
8,1,89,2,2,2,['d'],Y,['d'],Y,None,N,,,,,,,f,22,
8,2,90,0,0,2,['d'],Y,['d'],N,None,Y,,,,,,,f,22,
8,3,91,3,3,2,['d'],N,['k'],N,None,Y,,,,,,,f,22,
8,4,92,6,6,2,['k'],N,['d'],N,None,Y,,,,,,,f,22,
8,5,93,8,8,2,['k'],N,['d'],Y,None,N,,,,,,,f,22,
8,6,94,9,9,2,['d'],N,['k'],Y,None,N,,,,,,,f,22,
8,7,95,7,7,2,['k'],Y,['k'],N,None,Y,,,,,,,f,22,
8,8,96,9,9,2,['d'],N,['k'],Y,['space'],Y,,,,,,,f,22,
8,9,97,6,6,2,['k'],Y,['k'],N,None,Y,,,,,,,f,22,
8,10,98,3,3,2,['d'],Y,['d'],N,None,Y,,,,,,,f,22,
9,0,99,5,5,2,['k'],Y,['k'],N,None,Y,29,38,25,,,,f,22,
9,1,100,6,6,3,['d'],Y,['d'],,,,,,,,,,f,22,
9,2,101,4,4,3,['d'],Y,['d'],,,,,,,,,,f,22,
9,3,102,7,7,3,['d'],Y,['d'],N,None,Y,,,,,,,f,22,
9,4,103,7,7,3,['k'],Y,['k'],Y,['space'],Y,,,,,,,f,22,
9,5,104,7,7,3,None,Timed out,,Y,None,N,,,,,,,f,22,
9,6,105,7,7,3,['d'],N,['k'],Y,None,N,,,,,,,f,22,
9,7,106,5,5,3,['k'],Y,['k'],Y,None,N,,,,,,,f,22,
9,8,107,10,10,3,['d'],Y,['d'],Y,['space'],Y,,,,,,,f,22,
9,9,108,8,8,3,['k'],Y,['k'],N,None,Y,,,,,,,f,22,
9,10,109,4,4,3,['d'],Y,['d'],N,None,Y,,,,,,,f,22,
10,0,110,2,2,3,['d'],N,['k'],N,None,Y,,,,,,,f,22,
10,1,111,4,4,3,['k'],Y,['k'],Y,None,N,,,,,,,f,22,
