.thisRepN,.thisTrialN,.thisN,.thisIndex,.thisTrial,Block Number,Key pressed,Category,Correct?,Int Match?,Int Response,Int Correct?,Line Accuracy,Interference Accuracy,Matching Interferences,New instruction shown?,Buttons switched?,Fast?,gender,age,
0,0,0,1,1,1,['k'],['k'],Y,,,,,,,,,,f,22,
0,1,1,2,2,1,['k'],['k'],Y,,,,,,,,,,f,22,
0,2,2,3,3,1,['d'],['k'],N,Y,None,N,,,,,,,f,22,
0,3,3,5,5,1,['d'],['k'],N,Y,None,N,,,,,,,f,22,
0,4,4,9,9,1,['k'],['k'],Y,Y,None,N,,,,,,,f,22,
0,5,5,9,9,1,['d'],['k'],N,Y,None,N,,,,,,,f,22,
0,6,6,10,10,1,['d'],['d'],Y,Y,['space'],Y,,,,,,,f,22,
0,7,7,12,12,1,['d'],['d'],Y,N,None,Y,,,,,,,f,22,
0,8,8,12,12,1,['d'],['k'],N,Y,None,N,,,,,,,f,22,
0,9,9,10,10,1,['k'],['k'],Y,N,None,Y,,,,,,,f,22,
0,10,10,10,10,1,['d'],['d'],Y,N,None,Y,,,,,,,f,22,
0,11,11,10,10,1,['k'],['d'],N,Y,None,N,,,,,,,f,22,
0,12,12,8,8,1,['k'],['k'],Y,N,None,Y,,,,,,,f,22,
0,13,13,3,3,1,['d'],['d'],Y,Y,['space'],Y,,,,,,,f,22,
0,14,14,7,7,1,['d'],['d'],Y,Y,None,N,,,,,,,f,22,
1,0,15,3,3,1,['d'],['d'],Y,Y,['space'],Y,,,,,,,f,22,
1,1,16,14,14,1,['d'],['k'],N,N,None,Y,,,,,,,f,22,
1,2,17,5,5,1,['d'],['d'],Y,Y,None,N,,,,,,,f,22,
1,3,18,2,2,1,['k'],['k'],Y,Y,None,N,,,,,,,f,22,
1,4,19,0,0,1,['d'],['d'],Y,Y,['space'],Y,,,,,,,f,22,
1,5,20,11,11,1,['d'],['d'],Y,N,None,Y,,,,,,,f,22,
1,6,21,4,4,1,['d'],['d'],Y,N,None,Y,,,,,,,f,22,
1,7,22,9,9,1,['d'],['d'],Y,Y,None,N,,,,,,,f,22,
1,8,23,6,6,1,['d'],['k'],N,Y,['space'],Y,,,,,,,f,22,
1,9,24,6,6,1,['d'],['k'],N,N,None,Y,,,,,,,f,22,
1,10,25,3,3,1,['k'],['k'],Y,Y,['space'],Y,,,,,,,f,22,
1,11,26,11,11,1,['d'],['d'],Y,N,None,Y,,,,,,,f,22,
1,12,27,0,0,1,['k'],['k'],Y,Y,['space'],Y,,,,,,,f,22,
1,13,28,3,3,1,['d'],['d'],Y,Y,['space'],Y,,,,,,,f,22,
1,14,29,0,0,1,['d'],['d'],Y,Y,['space'],Y,,,,,,,f,22,
2,0,30,13,13,1,['k'],['k'],Y,N,None,Y,,,,,,,f,22,
2,1,31,13,13,1,['k'],['d'],N,Y,['space'],Y,,,,,,,f,22,
2,2,32,4,4,1,['k'],['k'],Y,N,['space'],N,,,,,,,f,22,
2,3,33,0,0,1,['k'],['d'],N,Y,['space'],Y,,,,,,,f,22,
2,4,34,8,8,1,['k'],['d'],N,N,None,Y,,,,,,,f,22,
2,5,35,1,1,1,['d'],['d'],Y,N,None,Y,,,,,,,f,22,
2,6,36,14,14,1,['d'],['d'],Y,N,None,Y,,,,,,,f,22,
2,7,37,5,5,1,['k'],['k'],Y,Y,None,N,,,,,,,f,22,
2,8,38,9,9,1,['d'],['d'],Y,Y,None,N,,,,,,,f,22,
2,9,39,0,0,1,['d'],['d'],Y,N,None,Y,,,,,,,f,22,
2,10,40,11,11,1,['k'],['k'],Y,Y,None,N,,,,,,,f,22,
2,11,41,11,11,1,['k'],['d'],N,N,['space'],N,,,,,,,f,22,
2,12,42,12,12,1,['k'],['k'],Y,Y,None,N,,,,,,,f,22,
2,13,43,8,8,1,['k'],['k'],Y,N,None,Y,,,,,,,f,22,
2,14,44,11,11,1,['k'],['k'],Y,N,['space'],N,,,,,,,f,22,
3,0,45,7,7,1,['d'],['d'],Y,N,['space'],N,,,,,,,f,22,
3,1,46,13,13,1,['k'],['k'],Y,N,None,Y,,,,,,,f,22,
3,2,47,11,11,1,['d'],['d'],Y,N,None,Y,,,,,,,f,22,
3,3,48,14,14,1,['d'],['k'],N,N,None,Y,,,,,,,f,22,
3,4,49,12,12,1,['d'],['d'],Y,N,None,Y,37,30,25,,,,f,22,
3,5,50,0,0,2,['k'],['k'],Y,,,,,,,,,,f,22,
3,6,51,8,8,2,['k'],['k'],Y,,,,,,,,,,f,22,
3,7,52,7,7,2,['d'],['d'],Y,Y,['space'],Y,,,,,,,f,22,
3,8,53,5,5,2,['k'],['d'],N,Y,['space'],Y,,,,,,,f,22,
3,9,54,9,9,2,['d'],['d'],Y,N,None,Y,,,,,,,f,22,
3,10,55,9,9,2,['k'],['d'],N,Y,['d'],N,,,,,,,f,22,
3,11,56,3,3,2,['k'],['k'],Y,Y,None,N,,,,,,,f,22,
3,12,57,6,6,2,['k'],['d'],N,N,None,Y,,,,,,,f,22,
3,13,58,11,11,2,['d'],['d'],Y,N,None,Y,,,,,,,f,22,
3,14,59,9,9,2,['k'],['d'],N,N,None,Y,,,,,,,f,22,
4,0,60,0,0,2,['k'],['k'],Y,N,None,Y,,,,,,,f,22,
4,1,61,2,2,2,['d'],['d'],Y,Y,['space'],Y,,,,,,,f,22,
4,2,62,1,1,2,['d'],['k'],N,N,None,Y,,,,,,,f,22,
4,3,63,4,4,2,['k'],['d'],N,Y,['space'],Y,,,,,,,f,22,
4,4,64,5,5,2,['k'],['k'],Y,Y,None,N,,,,,,,f,22,
4,5,65,8,8,2,['k'],['k'],Y,N,['space'],N,,,,,,,f,22,
4,6,66,0,0,2,['d'],['d'],Y,N,['space'],N,,,,,,,f,22,
4,7,67,4,4,2,['k'],['k'],Y,Y,None,N,,,,,,,f,22,
4,8,68,3,3,2,['k'],['d'],N,Y,None,N,,,,,,,f,22,
4,9,69,0,0,2,['k'],['d'],N,Y,['space'],Y,,,,,,,f,22,
4,10,70,9,9,2,['d'],['d'],Y,Y,None,N,,,,,,,f,22,
4,11,71,10,10,2,['k'],['k'],Y,N,None,Y,,,,,,,f,22,
4,12,72,14,14,2,['k'],['k'],Y,N,None,Y,,,,,,,f,22,
4,13,73,9,9,2,['d'],['d'],Y,Y,['space'],Y,,,,,,,f,22,
4,14,74,14,14,2,['d'],['d'],Y,N,None,Y,,,,,,,f,22,
5,0,75,13,13,2,['k'],['k'],Y,Y,None,N,,,,,,,f,22,
5,1,76,10,10,2,['k'],['k'],Y,Y,None,N,,,,,,,f,22,
5,2,77,14,14,2,['d'],['d'],Y,N,None,Y,,,,,,,f,22,
5,3,78,11,11,2,['k'],['d'],N,Y,['space'],Y,,,,,,,f,22,
5,4,79,1,1,2,['k'],['k'],Y,N,['space'],N,,,,,,,f,22,
5,5,80,5,5,2,['d'],['d'],Y,Y,['space'],Y,,,,,,,f,22,
5,6,81,3,3,2,['k'],['k'],Y,Y,['space'],Y,,,,,,,f,22,
5,7,82,9,9,2,['d'],['d'],Y,Y,['space'],Y,,,,,,,f,22,
5,8,83,10,10,2,['d'],['k'],N,Y,None,N,,,,,,,f,22,
5,9,84,5,5,2,['k'],['d'],N,Y,['space'],Y,,,,,,,f,22,
5,10,85,6,6,2,['d'],['d'],Y,N,None,Y,,,,,,,f,22,
5,11,86,1,1,2,['k'],['k'],Y,N,['space'],N,,,,,,,f,22,
5,12,87,8,8,2,['k'],['d'],N,N,['space'],N,,,,,,,f,22,
5,13,88,7,7,2,['k'],['k'],Y,N,None,Y,,,,,,,f,22,
5,14,89,13,13,2,['d'],['d'],Y,N,None,Y,,,,,,,f,22,
6,0,90,0,0,2,['d'],['d'],Y,Y,None,N,,,,,,,f,22,
6,1,91,1,1,2,['k'],['k'],Y,N,None,Y,,,,,,,f,22,
6,2,92,12,12,2,['k'],['k'],Y,N,None,Y,,,,,,,f,22,
6,3,93,8,8,2,['k'],['k'],Y,Y,None,N,,,,,,,f,22,
6,4,94,1,1,2,['k'],['k'],Y,N,['space'],N,,,,,,,f,22,
6,5,95,9,9,2,['k'],['k'],Y,N,None,Y,,,,,,,f,22,
6,6,96,9,9,2,['k'],['d'],N,Y,None,N,,,,,,,f,22,
6,7,97,8,8,2,['k'],['k'],Y,Y,None,N,,,,,,,f,22,
6,8,98,1,1,2,['d'],['k'],N,Y,['d'],N,,,,,,,f,22,
6,9,99,0,0,2,['d'],['d'],Y,N,None,Y,36,28,25,,,,f,22,
6,10,100,5,5,3,['d'],['d'],Y,,,,,,,,,,f,22,
6,11,101,12,12,3,['k'],['k'],Y,,,,,,,,,,f,22,
6,12,102,9,9,3,['k'],['d'],N,Y,['d'],N,,,,,,,f,22,
6,13,103,8,8,3,['d'],['k'],N,Y,['space'],Y,,,,,,,f,22,
6,14,104,4,4,3,['k'],['k'],Y,N,None,Y,,,,,,,f,22,
7,0,105,12,12,3,['d'],['d'],Y,Y,None,N,,,,,,,f,22,
7,1,106,1,1,3,['k'],['d'],N,Y,['space'],Y,,,,,,,f,22,
7,2,107,5,5,3,['k'],['d'],N,N,None,Y,,,,,,,f,22,
7,3,108,10,10,3,['k'],['d'],N,Y,None,N,,,,,,,f,22,
7,4,109,14,14,3,['k'],['k'],Y,Y,None,N,,,,,,,f,22,
7,5,110,4,4,3,['k'],['k'],Y,Y,['space'],Y,,,,,,,f,22,
7,6,111,2,2,3,['d'],['d'],Y,N,None,Y,,,,,,,f,22,
7,7,112,2,2,3,['d'],['d'],Y,Y,['space'],Y,,,,,,,f,22,
7,8,113,7,7,3,['k'],['d'],N,N,None,Y,,,,,,,f,22,
7,9,114,8,8,3,['d'],['d'],Y,Y,None,N,,,,,,,f,22,
7,10,115,7,7,3,['k'],['k'],Y,N,['space'],N,,,,,,,f,22,
7,11,116,13,13,3,['d'],['d'],Y,Y,['space'],Y,,,,,,,f,22,
7,12,117,12,12,3,['d'],['d'],Y,N,['space'],N,,,,,,,f,22,
7,13,118,3,3,3,['d'],['d'],Y,Y,['space'],Y,,,,,,,f,22,
7,14,119,14,14,3,['d'],['d'],Y,Y,['space'],Y,,,,,,,f,22,
8,0,120,1,1,3,['d'],['d'],Y,N,None,Y,,,,,,,f,22,
8,1,121,12,12,3,['d'],['d'],Y,Y,None,N,,,,,,,f,22,
8,2,122,8,8,3,['k'],['k'],Y,Y,['space'],Y,,,,,,,f,22,
8,3,123,7,7,3,['k'],['k'],Y,Y,['space'],Y,,,,,,,f,22,
8,4,124,13,13,3,['k'],['k'],Y,N,None,Y,,,,,,,f,22,
8,5,125,6,6,3,['k'],['k'],Y,N,None,Y,,,,,,,f,22,
8,6,126,6,6,3,['k'],['k'],Y,N,['space'],N,,,,,,,f,22,
8,7,127,4,4,3,['d'],['d'],Y,Y,['space'],Y,,,,,,,f,22,
8,8,128,1,1,3,['k'],['d'],N,Y,None,N,,,,,,,f,22,
8,9,129,4,4,3,['d'],['d'],Y,Y,['space'],Y,,,,,,,f,22,
8,10,130,5,5,3,['k'],['k'],Y,N,None,Y,,,,,,,f,22,
8,11,131,5,5,3,['k'],['d'],N,N,None,Y,,,,,,,f,22,
8,12,132,9,9,3,['k'],['k'],Y,N,['space'],N,,,,,,,f,22,
8,13,133,5,5,3,['d'],['d'],Y,N,None,Y,,,,,,,f,22,
8,14,134,0,0,3,['d'],['d'],Y,Y,None,N,,,,,,,f,22,
9,0,135,10,10,3,['d'],['d'],Y,N,None,Y,,,,,,,f,22,
9,1,136,11,11,3,['d'],['k'],N,N,None,Y,,,,,,,f,22,
9,2,137,10,10,3,['d'],['d'],Y,N,None,Y,,,,,,,f,22,
9,3,138,9,9,3,['d'],['d'],Y,N,None,Y,,,,,,,f,22,
9,4,139,2,2,3,['d'],['d'],Y,Y,None,N,,,,,,,f,22,
9,5,140,2,2,3,['d'],['d'],Y,Y,None,N,,,,,,,f,22,
9,6,141,5,5,3,['d'],['d'],Y,N,['space'],N,,,,,,,f,22,
9,7,142,5,5,3,['k'],['d'],N,N,['space'],N,,,,,,,f,22,
9,8,143,1,1,3,['k'],['k'],Y,N,None,Y,,,,,,,f,22,
9,9,144,10,10,3,['k'],['k'],Y,N,None,Y,,,,,,,f,22,
9,10,145,14,14,3,['k'],['k'],Y,N,None,Y,,,,,,,f,22,
9,11,146,9,9,3,['d'],['d'],Y,Y,['space'],Y,,,,,,,f,22,
9,12,147,6,6,3,['k'],['k'],Y,N,['space'],N,,,,,,,f,22,
9,13,148,13,13,3,['d'],['d'],Y,N,None,Y,,,,,,,f,22,
9,14,149,7,7,3,['d'],['d'],Y,Y,['space'],Y,40,31,23,,,,f,22,
10,0,150,11,11,4,['d'],['d'],Y,,,,,,,,,,f,22,
10,1,151,5,5,4,['k'],['k'],Y,,,,,,,,,,f,22,
10,2,152,13,13,4,['k'],['d'],N,N,None,Y,,,,,,,f,22,
10,3,153,12,12,4,['k'],['k'],Y,Y,['space'],Y,,,,,,,f,22,
10,4,154,2,2,4,['k'],['d'],N,Y,None,N,,,,,,,f,22,
10,5,155,6,6,4,['d'],['d'],Y,N,None,Y,,,,,,,f,22,
10,6,156,3,3,4,['d'],['k'],N,Y,['space'],Y,,,,,,,f,22,
10,7,157,1,1,4,['d'],['k'],N,Y,None,N,,,,,,,f,22,
10,8,158,10,10,4,['k'],['k'],Y,Y,None,N,,,,,,,f,22,
10,9,159,2,2,4,['k'],['k'],Y,N,None,Y,,,,,,,f,22,
10,10,160,0,0,4,['d'],['d'],Y,Y,['space'],Y,,,,,,,f,22,
10,11,161,12,12,4,['d'],['d'],Y,N,None,Y,,,,,,,f,22,
10,12,162,0,0,4,['k'],['k'],Y,Y,['space'],Y,,,,,,,f,22,
10,13,163,0,0,4,['d'],['d'],Y,Y,['space'],Y,,,,,,,f,22,
10,14,164,0,0,4,['k'],['k'],Y,Y,['space'],Y,,,,,,,f,22,
11,0,165,0,0,4,['k'],['k'],Y,Y,['space'],Y,,,,,,,f,22,
11,1,166,4,4,4,['d'],['k'],N,N,None,Y,,,,,,,f,22,
11,2,167,10,10,4,['k'],['k'],Y,N,None,Y,,,,,,,f,22,
11,3,168,13,13,4,['k'],['k'],Y,N,None,Y,,,,,,,f,22,
11,4,169,7,7,4,['d'],['d'],Y,Y,['space'],Y,,,,,,,f,22,
11,5,170,13,13,4,['k'],['k'],Y,N,None,Y,,,,,,,f,22,
11,6,171,7,7,4,['d'],['d'],Y,Y,['space'],Y,,,,,,,f,22,
11,7,172,8,8,4,['d'],['d'],Y,Y,['space'],Y,,,,,,,f,22,
11,8,173,3,3,4,['d'],['d'],Y,N,None,Y,,,,,,,f,22,
11,9,174,4,4,4,['k'],['k'],Y,Y,None,N,,,,,,,f,22,
11,10,175,9,9,4,['k'],['d'],N,N,None,Y,,,,,,,f,22,
11,11,176,1,1,4,['d'],['d'],Y,N,None,Y,,,,,,,f,22,
11,12,177,13,13,4,['k'],['k'],Y,N,None,Y,,,,,,,f,22,
11,13,178,12,12,4,['d'],['d'],Y,N,None,Y,,,,,,,f,22,
11,14,179,4,4,4,['k'],['k'],Y,Y,['space'],Y,,,,,,,f,22,
12,0,180,14,14,4,['d'],['d'],Y,Y,['space'],Y,,,,,,,f,22,
12,1,181,8,8,4,['k'],['k'],Y,Y,None,N,,,,,,,f,22,
12,2,182,0,0,4,['k'],['k'],Y,Y,['space'],Y,,,,,,,f,22,
12,3,183,0,0,4,['k'],['d'],N,N,None,Y,,,,,,,f,22,
12,4,184,3,3,4,['d'],['d'],Y,Y,['space'],Y,,,,,,,f,22,
12,5,185,1,1,4,['d'],['d'],Y,Y,['k'],N,,,,,,,f,22,
12,6,186,9,9,4,['k'],['k'],Y,N,None,Y,,,,,,,f,22,
12,7,187,12,12,4,['k'],['k'],Y,N,None,Y,,,,,,,f,22,
