.thisRepN,.thisTrialN,.thisN,.thisIndex,.thisTrial,Block Number,Key pressed,Correct?,Category,Int Match?,Int Response,Int Correct?,Line Accuracy,Interference Accuracy,Matching Interferences,New instruction shown?,Buttons switched?,Fast?,gender,age,
6,9,75,7,7,2,['d'],N,['k'],N,None,Y,,,,,,,F,20,
6,10,76,1,1,2,['k'],Y,['k'],Y,['k'],N,,,,,,,F,20,
7,0,77,3,3,2,['k'],Y,['k'],N,None,Y,,,,,,,F,20,
7,1,78,4,4,2,['d'],Y,['d'],Y,['space'],Y,,,,,,,F,20,
7,2,79,4,4,2,['k'],Y,['k'],Y,['space'],Y,,,,,,,F,20,
7,3,80,4,4,2,['k'],Y,['k'],N,None,Y,,,,,,,F,20,
7,4,81,9,9,2,['d'],Y,['d'],N,None,Y,,,,,,,F,20,
7,5,82,9,9,2,['k'],Y,['k'],Y,['space'],Y,,,,,,,F,20,
7,6,83,4,4,2,['k'],Y,['k'],N,None,Y,,,,,,,F,20,
7,7,84,2,2,2,['k'],N,['d'],N,None,Y,,,,,,,F,20,
7,8,85,9,9,2,['d'],Y,['d'],Y,['space'],Y,,,,,,,F,20,
7,9,86,3,3,2,['k'],Y,['k'],N,None,Y,,,,,,,F,20,
7,10,87,4,4,2,['k'],Y,['k'],N,None,Y,,,,,,,F,20,
8,0,88,3,3,2,['d'],Y,['d'],Y,['space'],Y,,,,,,,F,20,
8,1,89,10,10,2,['k'],N,['d'],N,None,Y,,,,,,,F,20,
8,2,90,1,1,2,['k'],Y,['k'],N,None,Y,,,,,,,F,20,
8,3,91,7,7,2,['d'],N,['k'],Y,['space'],Y,,,,,,,F,20,
8,4,92,9,9,2,['k'],N,['d'],Y,['space'],Y,,,,,,,F,20,
8,5,93,0,0,2,['k'],Y,['k'],N,None,Y,,,,,,,F,20,
8,6,94,0,0,2,['k'],N,['d'],Y,['space'],Y,,,,,,,F,20,
8,7,95,1,1,2,['d'],N,['k'],N,None,Y,,,,,,,F,20,
8,8,96,7,7,2,['k'],N,['d'],Y,['space'],Y,,,,,,,F,20,
8,9,97,2,2,2,['k'],Y,['k'],Y,['space'],Y,,,,,,,F,20,
