.thisRepN,.thisTrialN,.thisN,.thisIndex,Block Number,Key pressed,Category,Correct?,Button switch shown?,Fast?,gender,age
0,114,114,220,3,['d'],['d'],Y,,,female,21
0,115,115,590,3,['k'],['k'],Y,,,female,21
0,116,116,48,3,['d'],['d'],Y,,,female,21
0,117,117,549,3,['d'],['k'],N,,,female,21
0,118,118,83,3,['d'],['d'],Y,,,female,21
0,119,119,151,3,['d'],['d'],Y,,,female,21
0,120,120,221,3,['d'],['d'],Y,,,female,21
0,121,121,234,3,['d'],['d'],Y,,,female,21
0,122,122,275,3,['d'],['d'],Y,,,female,21
0,123,123,98,3,['d'],['d'],Y,,,female,21
0,124,124,247,3,['d'],['d'],Y,,,female,21
0,125,125,224,3,['k'],['d'],N,,,female,21
0,126,126,305,3,['k'],['k'],Y,,,female,21
0,127,127,249,3,['d'],['d'],Y,,,female,21
0,128,128,442,3,['k'],['k'],Y,,,female,21
0,129,129,552,3,['k'],['k'],Y,,,female,21
0,130,130,557,3,['k'],['k'],Y,,,female,21
0,131,131,376,3,['d'],['k'],N,,,female,21
0,132,132,81,3,['d'],['d'],Y,,,female,21
0,133,133,76,3,['d'],['d'],Y,,,female,21
0,134,134,183,3,['d'],['d'],Y,,,female,21
0,135,135,227,3,['d'],['d'],Y,,,female,21
0,136,136,228,3,['d'],['d'],Y,,,female,21
0,137,137,520,3,['k'],['k'],Y,,,female,21
0,138,138,34,3,['d'],['d'],Y,,,female,21
0,139,139,327,3,['k'],['k'],Y,,,female,21
0,140,140,70,3,['d'],['d'],Y,,,female,21
0,141,141,299,3,['d'],['d'],Y,,,female,21
0,142,142,581,3,['k'],['k'],Y,,,female,21
0,143,143,155,3,['d'],['d'],Y,,,female,21
0,144,144,104,3,['d'],['d'],Y,,,female,21
0,145,145,599,3,['k'],['k'],Y,,,female,21
0,146,146,489,3,['k'],['k'],Y,,,female,21
0,147,147,264,3,['d'],['d'],Y,,,female,21
0,148,148,277,3,['d'],['d'],Y,,,female,21
0,149,149,441,3,['k'],['k'],Y,,,female,21
,,,,,,,"46 correct, 4 wrong",,,,
0,150,150,501,4,['k'],['k'],Y,,,female,21
0,151,151,115,4,['d'],['d'],Y,,,female,21
0,152,152,416,4,['k'],['k'],Y,,,female,21
0,153,153,579,4,['d'],['k'],N,,,female,21
0,154,154,353,4,['k'],['k'],Y,,,female,21
0,155,155,466,4,['k'],['k'],Y,,,female,21
0,156,156,571,4,['k'],['k'],Y,,,female,21
0,157,157,236,4,['k'],['d'],N,,,female,21
0,158,158,307,4,['k'],['k'],Y,,,female,21
