.thisRepN,.thisTrialN,.thisN,.thisIndex,Block Number,Key pressed,Category,Correct?,Button switch shown?,Fast?,gender,age,
0,0,0,436,1,['d'],['k'],N,,,MALE,18,
0,1,1,573,1,['d'],['k'],N,,,MALE,18,
0,2,2,65,1,['k'],['d'],N,,,MALE,18,
0,3,3,7,1,['k'],['d'],N,,,MALE,18,
0,4,4,360,1,['d'],['k'],N,,,MALE,18,
0,5,5,195,1,['k'],['d'],N,,,MALE,18,
0,6,6,341,1,['k'],['k'],Y,,,MALE,18,
0,7,7,117,1,['k'],['d'],N,,,MALE,18,
0,8,8,51,1,['k'],['d'],N,,,MALE,18,
0,9,9,30,1,['k'],['d'],N,,,MALE,18,
0,10,10,356,1,['d'],['k'],N,,,MALE,18,
0,11,11,505,1,['k'],['k'],Y,,,MALE,18,
0,12,12,333,1,['d'],['k'],N,,,MALE,18,
0,13,13,188,1,['k'],['d'],N,,,MALE,18,
0,14,14,426,1,['k'],['k'],Y,,,MALE,18,
0,15,15,541,1,['d'],['k'],N,,,MALE,18,
0,16,16,311,1,['d'],['k'],N,,,MALE,18,
0,17,17,342,1,['k'],['k'],Y,,,MALE,18,
0,18,18,197,1,['k'],['d'],N,,,MALE,18,
0,19,19,143,1,['k'],['d'],N,,,MALE,18,
0,20,20,145,1,['k'],['d'],N,,,MALE,18,
0,21,21,50,1,['d'],['d'],Y,,,MALE,18,
0,22,22,386,1,['d'],['k'],N,,,MALE,18,
0,23,23,498,1,['k'],['k'],Y,,,MALE,18,
0,24,24,187,1,None,,Timed out,,,MALE,18,
0,25,25,295,1,['d'],['d'],Y,,,MALE,18,
0,26,26,217,1,['k'],['d'],N,,,MALE,18,
0,27,27,432,1,['d'],['k'],N,,,MALE,18,
0,28,28,233,1,['k'],['d'],N,,,MALE,18,
0,29,29,301,1,['k'],['k'],Y,,,MALE,18,
0,30,30,489,1,['k'],['k'],Y,,,MALE,18,
0,31,31,530,1,['k'],['k'],Y,,,MALE,18,
0,32,32,5,1,['k'],['d'],N,,,MALE,18,
0,33,33,375,1,['k'],['k'],Y,,,MALE,18,
0,34,34,146,1,['d'],['d'],Y,,,MALE,18,
0,35,35,196,1,['d'],['d'],Y,,,MALE,18,
0,36,36,499,1,['k'],['k'],Y,,,MALE,18,
0,37,37,47,1,['d'],['d'],Y,,,MALE,18,
0,38,38,423,1,['k'],['k'],Y,,,MALE,18,
0,39,39,551,1,['k'],['k'],Y,,,MALE,18,
0,40,40,118,1,['d'],['d'],Y,,,MALE,18,
0,41,41,435,1,['k'],['k'],Y,,,MALE,18,
0,42,42,331,1,['k'],['k'],Y,,,MALE,18,
0,43,43,77,1,['d'],['d'],Y,,,MALE,18,
0,44,44,328,1,['k'],['k'],Y,,,MALE,18,
0,45,45,27,1,['k'],['d'],N,,,MALE,18,
0,46,46,475,1,['k'],['k'],Y,,,MALE,18,
0,47,47,224,1,['k'],['d'],N,,,MALE,18,
0,48,48,431,1,['k'],['k'],Y,,,MALE,18,
0,49,49,6,1,['d'],['d'],Y,,,MALE,18,
0,50,50,155,2,['d'],['d'],Y,,,MALE,18,
0,51,51,389,2,['k'],['k'],Y,,,MALE,18,
0,52,52,243,2,['d'],['d'],Y,,,MALE,18,
0,53,53,128,2,['k'],['d'],N,,,MALE,18,
0,54,54,520,2,['k'],['k'],Y,,,MALE,18,
0,55,55,594,2,['k'],['k'],Y,,,MALE,18,
0,56,56,446,2,['k'],['k'],Y,,,MALE,18,
0,57,57,120,2,['d'],['d'],Y,,,MALE,18,
0,58,58,560,2,['k'],['k'],Y,,,MALE,18,
0,59,59,73,2,['d'],['d'],Y,,,MALE,18,
0,60,60,71,2,['d'],['d'],Y,,,MALE,18,
0,61,61,467,2,['k'],['k'],Y,,,MALE,18,
0,62,62,131,2,['d'],['d'],Y,,,MALE,18,
0,63,63,140,2,['d'],['d'],Y,,,MALE,18,
0,64,64,372,2,['k'],['k'],Y,,,MALE,18,
0,65,65,348,2,['k'],['k'],Y,,,MALE,18,
0,66,66,35,2,['d'],['d'],Y,,,MALE,18,
0,67,67,110,2,['d'],['d'],Y,,,MALE,18,
0,68,68,406,2,['k'],['k'],Y,,,MALE,18,
0,69,69,417,2,['k'],['k'],Y,,,MALE,18,
0,70,70,419,2,['k'],['k'],Y,,,MALE,18,
0,71,71,255,2,['d'],['d'],Y,,,MALE,18,
0,72,72,25,2,['k'],['d'],N,,,MALE,18,
0,73,73,444,2,['k'],['k'],Y,,,MALE,18,
0,74,74,261,2,['d'],['d'],Y,,,MALE,18,
0,75,75,244,2,['d'],['d'],Y,,,MALE,18,
0,76,76,411,2,['k'],['k'],Y,,,MALE,18,
0,77,77,321,2,['k'],['k'],Y,,,MALE,18,
0,78,78,198,2,['d'],['d'],Y,,,MALE,18,
0,79,79,254,2,['d'],['d'],Y,,,MALE,18,
0,80,80,588,2,['k'],['k'],Y,,,MALE,18,
0,81,81,376,2,['k'],['k'],Y,,,MALE,18,
0,82,82,14,2,['d'],['d'],Y,,,MALE,18,
0,83,83,278,2,['d'],['d'],Y,,,MALE,18,
0,84,84,494,2,['k'],['k'],Y,,,MALE,18,
0,85,85,527,2,['k'],['k'],Y,,,MALE,18,
0,86,86,453,2,['k'],['k'],Y,,,MALE,18,
0,87,87,20,2,['d'],['d'],Y,,,MALE,18,
0,88,88,284,2,['d'],['d'],Y,,,MALE,18,
0,89,89,511,2,['k'],['k'],Y,,,MALE,18,
0,90,90,361,2,['k'],['k'],Y,,,MALE,18,
0,91,91,169,2,['d'],['d'],Y,,,MALE,18,
0,92,92,16,2,['d'],['d'],Y,,,MALE,18,
0,93,93,129,2,['d'],['d'],Y,,,MALE,18,
0,94,94,105,2,['d'],['d'],Y,,,MALE,18,
0,95,95,228,2,['d'],['d'],Y,,,MALE,18,
0,96,96,209,2,['d'],['d'],Y,,,MALE,18,
0,97,97,590,2,['k'],['k'],Y,,,MALE,18,
0,98,98,465,2,['k'],['k'],Y,,,MALE,18,
0,99,99,514,2,['k'],['k'],Y,,,MALE,18,
0,100,100,43,3,['d'],['d'],Y,,,MALE,18,
0,101,101,69,3,['d'],['d'],Y,,,MALE,18,
0,102,102,368,3,['k'],['k'],Y,,,MALE,18,
0,103,103,79,3,['d'],['d'],Y,,,MALE,18,
0,104,104,123,3,['d'],['d'],Y,,,MALE,18,
0,105,105,78,3,['d'],['d'],Y,,,MALE,18,
0,106,106,322,3,['k'],['k'],Y,,,MALE,18,
0,107,107,258,3,['d'],['d'],Y,,,MALE,18,
0,108,108,408,3,['k'],['k'],Y,,,MALE,18,
0,109,109,76,3,['d'],['d'],Y,,,MALE,18,
0,110,110,493,3,['k'],['k'],Y,,,MALE,18,
0,111,111,373,3,['d'],['k'],N,,,MALE,18,
0,112,112,413,3,['k'],['k'],Y,,,MALE,18,
0,113,113,340,3,['k'],['k'],Y,,,MALE,18,
0,114,114,504,3,['k'],['k'],Y,,,MALE,18,
0,115,115,151,3,['d'],['d'],Y,,,MALE,18,
0,116,116,420,3,['k'],['k'],Y,,,MALE,18,
0,117,117,263,3,['d'],['d'],Y,,,MALE,18,
0,118,118,49,3,['d'],['d'],Y,,,MALE,18,
0,119,119,34,3,['k'],['d'],N,,,MALE,18,
0,120,120,569,3,['k'],['k'],Y,,,MALE,18,
0,121,121,61,3,['d'],['d'],Y,,,MALE,18,
0,122,122,524,3,['k'],['k'],Y,,,MALE,18,
0,123,123,442,3,['k'],['k'],Y,,,MALE,18,
0,124,124,318,3,['k'],['k'],Y,,,MALE,18,
0,125,125,471,3,['k'],['k'],Y,,,MALE,18,
0,126,126,97,3,['d'],['d'],Y,,,MALE,18,
0,127,127,312,3,['k'],['k'],Y,,,MALE,18,
0,128,128,458,3,['k'],['k'],Y,,,MALE,18,
0,129,129,506,3,['k'],['k'],Y,,,MALE,18,
0,130,130,518,3,['k'],['k'],Y,,,MALE,18,
0,131,131,398,3,['k'],['k'],Y,,,MALE,18,
0,132,132,28,3,['d'],['d'],Y,,,MALE,18,
0,133,133,251,3,['d'],['d'],Y,,,MALE,18,
0,134,134,534,3,['k'],['k'],Y,,,MALE,18,
0,135,135,407,3,['k'],['k'],Y,,,MALE,18,
0,136,136,277,3,['d'],['d'],Y,,,MALE,18,
0,137,137,53,3,['d'],['d'],Y,,,MALE,18,
0,138,138,42,3,['d'],['d'],Y,,,MALE,18,
0,139,139,509,3,['k'],['k'],Y,,,MALE,18,
0,140,140,553,3,['k'],['k'],Y,,,MALE,18,
0,141,141,55,3,['d'],['d'],Y,,,MALE,18,
0,142,142,561,3,['k'],['k'],Y,,,MALE,18,
0,143,143,543,3,['k'],['k'],Y,,,MALE,18,
0,144,144,306,3,['d'],['k'],N,,,MALE,18,
0,145,145,593,3,['k'],['k'],Y,,,MALE,18,
0,146,146,382,3,None,,Timed out,,,MALE,18,
0,147,147,387,3,['k'],['k'],Y,,,MALE,18,
0,148,148,456,3,['k'],['k'],Y,,,MALE,18,
0,149,149,563,3,['k'],['k'],Y,,,MALE,18,
0,150,150,479,4,['k'],['k'],Y,,,MALE,18,
0,151,151,507,4,['k'],['k'],Y,,,MALE,18,
0,152,152,239,4,['d'],['d'],Y,,,MALE,18,
0,153,153,111,4,['d'],['d'],Y,,,MALE,18,
0,154,154,291,4,['d'],['d'],Y,,,MALE,18,
0,155,155,316,4,['k'],['k'],Y,,,MALE,18,
0,156,156,307,4,['k'],['k'],Y,,,MALE,18,
0,157,157,242,4,['d'],['d'],Y,,,MALE,18,
0,158,158,124,4,['k'],['d'],N,,,MALE,18,
0,159,159,159,4,['d'],['d'],Y,,,MALE,18,
0,160,160,83,4,['k'],['d'],N,,,MALE,18,
0,161,161,570,4,['d'],['k'],N,,,MALE,18,
0,162,162,193,4,['d'],['d'],Y,,,MALE,18,
0,163,163,227,4,['d'],['d'],Y,,,MALE,18,
0,164,164,270,4,['d'],['d'],Y,,,MALE,18,
0,165,165,297,4,['k'],['d'],N,,,MALE,18,
0,166,166,517,4,['k'],['k'],Y,,,MALE,18,
0,167,167,477,4,['k'],['k'],Y,,,MALE,18,
0,168,168,106,4,['d'],['d'],Y,,,MALE,18,
0,169,169,115,4,['d'],['d'],Y,,,MALE,18,
0,170,170,294,4,['d'],['d'],Y,,,MALE,18,
0,171,171,343,4,['k'],['k'],Y,,,MALE,18,
0,172,172,67,4,['d'],['d'],Y,,,MALE,18,
0,173,173,429,4,['k'],['k'],Y,,,MALE,18,
0,174,174,428,4,['k'],['k'],Y,,,MALE,18,
0,175,175,134,4,['d'],['d'],Y,,,MALE,18,
0,176,176,460,4,['k'],['k'],Y,,,MALE,18,
0,177,177,66,4,['d'],['d'],Y,,,MALE,18,
0,178,178,393,4,['k'],['k'],Y,,,MALE,18,
0,179,179,526,4,['k'],['k'],Y,,,MALE,18,
0,180,180,229,4,['d'],['d'],Y,,,MALE,18,
0,181,181,236,4,['d'],['d'],Y,,,MALE,18,
0,182,182,80,4,None,,Timed out,,,MALE,18,
0,183,183,353,4,['k'],['k'],Y,,,MALE,18,
0,184,184,575,4,['k'],['k'],Y,,,MALE,18,
0,185,185,579,4,['k'],['k'],Y,,,MALE,18,
0,186,186,101,4,None,,Timed out,,,MALE,18,
0,187,187,144,4,['d'],['d'],Y,,,MALE,18,
0,188,188,450,4,['k'],['k'],Y,,,MALE,18,
0,189,189,384,4,['k'],['k'],Y,,,MALE,18,
0,190,190,583,4,['k'],['k'],Y,,,MALE,18,
0,191,191,147,4,['d'],['d'],Y,,,MALE,18,
0,192,192,226,4,['d'],['d'],Y,,,MALE,18,
0,193,193,132,4,['d'],['d'],Y,,,MALE,18,
0,194,194,1,4,['d'],['d'],Y,,,MALE,18,
0,195,195,185,4,['d'],['d'],Y,,,MALE,18,
0,196,196,190,4,['d'],['d'],Y,,,MALE,18,
0,197,197,443,4,None,,Timed out,,,MALE,18,
0,198,198,549,4,['k'],['k'],Y,,,MALE,18,
0,199,199,93,4,['k'],['d'],N,,,MALE,18,
0,200,200,516,5,['k'],['k'],Y,,,MALE,18,
0,201,201,9,5,['k'],['d'],N,,,MALE,18,
0,202,202,39,5,['d'],['d'],Y,,,MALE,18,
0,203,203,170,5,['d'],['d'],Y,,,MALE,18,
0,204,204,474,5,['k'],['k'],Y,,,MALE,18,
0,205,205,395,5,['d'],['k'],N,,,MALE,18,
0,206,206,350,5,['k'],['k'],Y,,,MALE,18,
0,207,207,41,5,['d'],['d'],Y,,,MALE,18,
0,208,208,319,5,['k'],['k'],Y,,,MALE,18,
0,209,209,325,5,['k'],['k'],Y,,,MALE,18,
0,210,210,127,5,['d'],['d'],Y,,,MALE,18,
0,211,211,114,5,['d'],['d'],Y,,,MALE,18,
0,212,212,273,5,['k'],['d'],N,,,MALE,18,
0,213,213,402,5,['k'],['k'],Y,,,MALE,18,
0,214,214,54,5,['d'],['d'],Y,,,MALE,18,
0,215,215,210,5,None,,Timed out,,,MALE,18,
0,216,216,153,5,['d'],['d'],Y,,,MALE,18,
0,217,217,491,5,['k'],['k'],Y,,,MALE,18,
0,218,218,189,5,['k'],['d'],N,,,MALE,18,
0,219,219,496,5,['k'],['k'],Y,,,MALE,18,
0,220,220,486,5,['k'],['k'],Y,,,MALE,18,
0,221,221,17,5,['d'],['d'],Y,,,MALE,18,
0,222,222,288,5,['k'],['d'],N,,,MALE,18,
0,223,223,223,5,None,,Timed out,,,MALE,18,
0,224,224,150,5,['k'],['d'],N,,,MALE,18,
0,225,225,292,5,['d'],['d'],Y,,,MALE,18,
0,226,226,275,5,['k'],['d'],N,,,MALE,18,
0,227,227,492,5,['k'],['k'],Y,,,MALE,18,
0,228,228,484,5,['k'],['k'],Y,,,MALE,18,
0,229,229,122,5,['d'],['d'],Y,,,MALE,18,
0,230,230,552,5,['k'],['k'],Y,,,MALE,18,
0,231,231,390,5,['k'],['k'],Y,,,MALE,18,
0,232,232,85,5,['d'],['d'],Y,,,MALE,18,
0,233,233,86,5,['k'],['d'],N,,,MALE,18,
0,234,234,327,5,['k'],['k'],Y,,,MALE,18,
0,235,235,300,5,['k'],['k'],Y,,,MALE,18,
0,236,236,567,5,None,,Timed out,,,MALE,18,
0,237,237,88,5,None,,Timed out,,,MALE,18,
0,238,238,344,5,['k'],['k'],Y,,,MALE,18,
0,239,239,103,5,['d'],['d'],Y,,,MALE,18,
0,240,240,508,5,['k'],['k'],Y,,,MALE,18,
0,241,241,158,5,['d'],['d'],Y,,,MALE,18,
0,242,242,473,5,['k'],['k'],Y,,,MALE,18,
0,243,243,248,5,['d'],['d'],Y,,,MALE,18,
0,244,244,156,5,['d'],['d'],Y,,,MALE,18,
0,245,245,302,5,['k'],['k'],Y,,,MALE,18,
0,246,246,222,5,None,,Timed out,,,MALE,18,
0,247,247,336,5,None,,Timed out,,,MALE,18,
0,248,248,510,5,None,,Timed out,,,MALE,18,
0,249,249,74,5,['d'],['d'],Y,,,MALE,18,
0,250,250,564,6,['k'],['k'],Y,,,MALE,18,
0,251,251,234,6,['d'],['d'],Y,,,MALE,18,
0,252,252,75,6,['d'],['d'],Y,,,MALE,18,
0,253,253,102,6,['d'],['d'],Y,,,MALE,18,
0,254,254,231,6,['d'],['d'],Y,,,MALE,18,
0,255,255,352,6,None,,Timed out,,,MALE,18,
0,256,256,355,6,['k'],['k'],Y,,,MALE,18,
0,257,257,3,6,['k'],['d'],N,,,MALE,18,
0,258,258,380,6,['k'],['k'],Y,,,MALE,18,
0,259,259,135,6,['d'],['d'],Y,,,MALE,18,
0,260,260,539,6,['k'],['k'],Y,,,MALE,18,
0,261,261,542,6,['k'],['k'],Y,,,MALE,18,
0,262,262,513,6,['k'],['k'],Y,,,MALE,18,
0,263,263,260,6,['d'],['d'],Y,,,MALE,18,
0,264,264,125,6,['k'],['d'],N,,,MALE,18,
0,265,265,577,6,['k'],['k'],Y,,,MALE,18,
0,266,266,136,6,['d'],['d'],Y,,,MALE,18,
0,267,267,274,6,['d'],['d'],Y,,,MALE,18,
0,268,268,414,6,['k'],['k'],Y,,,MALE,18,
0,269,269,112,6,['d'],['d'],Y,,,MALE,18,
0,270,270,437,6,['k'],['k'],Y,,,MALE,18,
0,271,271,598,6,['k'],['k'],Y,,,MALE,18,
0,272,272,95,6,['d'],['d'],Y,,,MALE,18,
0,273,273,558,6,['k'],['k'],Y,,,MALE,18,
0,274,274,84,6,['d'],['d'],Y,,,MALE,18,
0,275,275,347,6,['k'],['k'],Y,,,MALE,18,
0,276,276,369,6,['k'],['k'],Y,,,MALE,18,
0,277,277,38,6,['d'],['d'],Y,,,MALE,18,
0,278,278,157,6,['d'],['d'],Y,,,MALE,18,
0,279,279,452,6,['k'],['k'],Y,,,MALE,18,
0,280,280,0,6,['d'],['d'],Y,,,MALE,18,
0,281,281,310,6,['k'],['k'],Y,,,MALE,18,
0,282,282,202,6,['d'],['d'],Y,,,MALE,18,
0,283,283,559,6,['k'],['k'],Y,,,MALE,18,
0,284,284,220,6,['d'],['d'],Y,,,MALE,18,
0,285,285,183,6,['d'],['d'],Y,,,MALE,18,
0,286,286,205,6,['d'],['d'],Y,,,MALE,18,
0,287,287,99,6,['d'],['d'],Y,,,MALE,18,
0,288,288,585,6,['k'],['k'],Y,,,MALE,18,
0,289,289,582,6,['k'],['k'],Y,,,MALE,18,
0,290,290,416,6,['k'],['k'],Y,,,MALE,18,
0,291,291,330,6,None,,Timed out,,,MALE,18,
0,292,292,525,6,None,,Timed out,,,MALE,18,
0,293,293,392,6,['k'],['k'],Y,,,MALE,18,
