.thisRepN,.thisTrialN,.thisN,.thisIndex,.thisTrial,Block Number,Key pressed,Category,Correct?,Int Match?,Int Response,Int Correct?,Line Accuracy,Interference Accuracy,Matching Interferences,New instruction shown?,Buttons switched?,Fast?,gender,age,
0,0,0,4,4,1,['k'],['d'],N,,,,,,,,,,f,21,
0,1,1,10,10,1,['k'],['k'],Y,,,,,,,,,,f,21,
0,2,2,4,4,1,['d'],['d'],Y,N,None,Y,,,,,,,f,21,
0,3,3,0,0,1,['d'],['k'],N,N,None,Y,,,,,,,f,21,
0,4,4,8,8,1,['d'],['k'],N,N,None,Y,,,,,,,f,21,
0,5,5,7,7,1,['d'],['d'],Y,N,None,Y,,,,,,,f,21,
0,6,6,4,4,1,['k'],['k'],Y,N,None,Y,,,,,,,f,21,
0,7,7,1,1,1,['d'],['k'],N,Y,None,N,,,,,,,f,21,
0,8,8,10,10,1,['d'],['d'],Y,Y,['space'],Y,,,,,,,f,21,
0,9,9,7,7,1,['k'],['d'],N,N,None,Y,,,,,,,f,21,
0,10,10,8,8,1,['k'],['d'],N,N,None,Y,,,,,,,f,21,
1,0,11,7,7,1,['d'],['d'],Y,N,['space'],N,,,,,,,f,21,
1,1,12,10,10,1,['d'],['d'],Y,Y,None,N,,,,,,,f,21,
1,2,13,9,9,1,['d'],['d'],Y,N,None,Y,,,,,,,f,21,
1,3,14,10,10,1,['d'],['k'],N,N,None,Y,,,,,,,f,21,
1,4,15,10,10,1,['k'],['d'],N,N,None,Y,,,,,,,f,21,
1,5,16,4,4,1,['k'],['d'],N,N,['d'],N,,,,,,,f,21,
1,6,17,6,6,1,['d'],['k'],N,N,None,Y,,,,,,,f,21,
1,7,18,0,0,1,['d'],['d'],Y,N,None,Y,,,,,,,f,21,
1,8,19,1,1,1,['k'],['d'],N,Y,None,N,,,,,,,f,21,
1,9,20,3,3,1,['d'],['k'],N,N,None,Y,,,,,,,f,21,
1,10,21,4,4,1,['k'],['k'],Y,Y,['space'],Y,,,,,,,f,21,
2,0,22,8,8,1,['d'],['k'],N,N,None,Y,,,,,,,f,21,
2,1,23,0,0,1,['k'],['k'],Y,N,None,Y,,,,,,,f,21,
2,2,24,3,3,1,['d'],['d'],Y,N,None,Y,,,,,,,f,21,
