.thisRepN,.thisTrialN,.thisN,.thisIndex,.thisTrial,Block Number,Key pressed,Correct?,Int Match?,Int Response,Int Correct?,Category,Line Accuracy,Interference Accuracy,Matching Interferences,New instruction shown?,Buttons switched?,Fast?,gender,age,
6,7,73,8,8,2,['k'],Y,N,None,Y,['k'],,,,,,,F,21,
6,8,74,8,8,2,['d'],N,Y,['space'],Y,['k'],,,,,,,F,21,
6,9,75,1,1,2,['k'],N,Y,['space'],Y,['d'],,,,,,,F,21,
6,10,76,2,2,2,['k'],Y,N,None,Y,['k'],,,,,,,F,21,
7,0,77,3,3,2,['d'],N,Y,['space'],Y,['k'],,,,,,,F,21,
7,1,78,4,4,2,['k'],Y,Y,['space'],Y,['k'],,,,,,,F,21,
7,2,79,7,7,2,['k'],Y,N,None,Y,['k'],,,,,,,F,21,
7,3,80,6,6,2,['k'],N,Y,['space'],Y,['d'],,,,,,,F,21,
7,4,81,6,6,2,['k'],Y,Y,['space'],Y,['k'],,,,,,,F,21,
7,5,82,6,6,2,['d'],Y,N,None,Y,['d'],,,,,,,F,21,
7,6,83,2,2,2,['k'],Y,N,None,Y,['k'],,,,,,,F,21,
7,7,84,5,5,2,['k'],N,Y,['space'],Y,['d'],,,,,,,F,21,
7,8,85,4,4,2,['k'],N,Y,['space'],Y,['d'],,,,,,,F,21,
7,9,86,7,7,2,['k'],Y,Y,['space'],Y,['k'],,,,,,,F,21,
7,10,87,7,7,2,['k'],N,Y,['space'],Y,['d'],,,,,,,F,21,
8,0,88,10,10,2,['d'],Y,Y,['space'],Y,['d'],,,,,,,F,21,
8,1,89,1,1,2,['d'],Y,Y,None,N,['d'],,,,,,,F,21,
8,2,90,4,4,2,['d'],N,Y,['space'],Y,['k'],,,,,,,F,21,
8,3,91,6,6,2,['k'],Y,Y,['space'],Y,['k'],,,,,,,F,21,
8,4,92,8,8,2,['k'],N,N,None,Y,['d'],,,,,,,F,21,
8,5,93,6,6,2,['k'],N,Y,['space'],Y,['d'],,,,,,,F,21,
8,6,94,8,8,2,['d'],Y,Y,['space'],Y,['d'],,,,,,,F,21,
