.thisRepN,.thisTrialN,.thisN,.thisIndex,.thisTrial,Block Number,Key pressed,Category,Correct?,Int Match?,Int Response,Int Correct?,Line Accuracy,Interference Accuracy,Matching Interferences,New instruction shown?,Buttons switched?,Fast?,gender,age
6,9,75,8,8,2,['k'],['k'],Y,N,None,Y,,,,,,,F,19
6,10,76,7,7,2,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,19
7,0,77,7,7,2,['d'],['d'],Y,N,None,Y,,,,,,,F,19
7,1,78,5,5,2,['k'],['k'],Y,N,None,Y,,,,,,,F,19
7,2,79,6,6,2,['k'],['d'],N,N,None,Y,,,,,,,F,19
7,3,80,7,7,2,['d'],['d'],Y,Y,['space'],Y,,,,,,,F,19
7,4,81,4,4,2,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,19
7,5,82,4,4,2,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,19
7,6,83,4,4,2,['d'],['d'],Y,Y,['space'],Y,,,,,,,F,19
7,7,84,4,4,2,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,19
7,8,85,8,8,2,['d'],['k'],N,Y,['space'],Y,,,,,,,F,19
7,9,86,0,0,2,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,19
7,10,87,0,0,2,['d'],['d'],Y,Y,['space'],Y,,,,,,,F,19
8,0,88,2,2,2,['k'],['k'],Y,N,None,Y,,,,,,,F,19
8,1,89,9,9,2,['k'],['d'],N,Y,['space'],Y,,,,,,,F,19
8,2,90,4,4,2,['k'],['k'],Y,N,None,Y,,,,,,,F,19
8,3,91,5,5,2,['d'],['d'],Y,N,None,Y,,,,,,,F,19
8,4,92,1,1,2,['d'],['d'],Y,N,None,Y,,,,,,,F,19
8,5,93,5,5,2,['k'],['k'],Y,N,None,Y,,,,,,,F,19
8,6,94,8,8,2,['k'],['k'],Y,N,None,Y,,,,,,,F,19
8,7,95,0,0,2,['d'],['d'],Y,N,None,Y,,,,,,,F,19
8,8,96,2,2,2,['d'],['d'],Y,N,None,Y,,,,,,,F,19
8,9,97,7,7,2,['k'],['k'],Y,N,None,Y,,,,,,,F,19
8,10,98,1,1,2,['d'],['k'],N,Y,['space'],Y,,,,,,,F,19
9,0,99,0,0,2,['k'],['k'],Y,N,None,Y,43,48,17,,,,F,19
9,1,100,2,2,3,['k'],['k'],Y,,,,,,,,,,F,19
9,2,101,6,6,3,['d'],['d'],Y,,,,,,,,,,F,19
