.thisRepN,.thisTrialN,.thisN,.thisIndex,Block Number,Key pressed,Category,Correct?,Button switch shown?,Actually switched?,Fast?,gender,age,
0,0,0,94,1,['k'],['d'],N,,,,f,23,
0,1,1,340,1,['d'],['k'],N,,,,f,23,
0,2,2,494,1,['k'],['k'],Y,,,,f,23,
0,3,3,539,1,['d'],['k'],N,,,,f,23,
0,4,4,319,1,['k'],['k'],Y,,,,f,23,
0,5,5,324,1,['k'],['k'],Y,,,,f,23,
0,6,6,28,1,['k'],['d'],N,,,,f,23,
0,7,7,337,1,['d'],['k'],N,,,,f,23,
0,8,8,418,1,['k'],['k'],Y,,,,f,23,
0,9,9,84,1,['k'],['d'],N,,,,f,23,
0,10,10,238,1,['k'],['d'],N,,,,f,23,
0,11,11,412,1,['d'],['k'],N,,,,f,23,
0,12,12,195,1,['d'],['d'],Y,,,,f,23,
0,13,13,197,1,['d'],['d'],Y,,,,f,23,
0,14,14,548,1,['k'],['k'],Y,,,,f,23,
0,15,15,24,1,['k'],['d'],N,,,,f,23,
0,16,16,593,1,['k'],['k'],Y,,,,f,23,
0,17,17,77,1,['d'],['d'],Y,,,,f,23,
0,18,18,61,1,['d'],['d'],Y,,,,f,23,
0,19,19,536,1,['k'],['k'],Y,,,,f,23,
0,20,20,41,1,['d'],['d'],Y,,,,f,23,
0,21,21,208,1,['k'],['d'],N,,,,f,23,
0,22,22,590,1,['k'],['k'],Y,,,,f,23,
0,23,23,75,1,['d'],['d'],Y,,,,f,23,
0,24,24,277,1,['d'],['d'],Y,,,,f,23,
0,25,25,579,1,['d'],['k'],N,,,,f,23,
0,26,26,155,1,['d'],['d'],Y,,,,f,23,
0,27,27,10,1,['k'],['d'],N,,,,f,23,
0,28,28,390,1,['k'],['k'],Y,,,,f,23,
0,29,29,498,1,['k'],['k'],Y,,,,f,23,
0,30,30,184,1,['d'],['d'],Y,,,,f,23,
0,31,31,48,1,None,,Timed out,,,,f,23,
0,32,32,89,1,['k'],['d'],N,,,,f,23,
0,33,33,488,1,['k'],['k'],Y,,,,f,23,
0,34,34,556,1,['d'],['k'],N,,,,f,23,
0,35,35,282,1,['d'],['d'],Y,,,,f,23,
0,36,36,597,1,['k'],['k'],Y,,,,f,23,
0,37,37,493,1,['k'],['k'],Y,,,,f,23,
0,38,38,32,1,['d'],['d'],Y,,,,f,23,
0,39,39,591,1,['k'],['k'],Y,,,,f,23,
0,40,40,403,1,['d'],['k'],N,,,,f,23,
0,41,41,177,1,['k'],['d'],N,,,,f,23,
0,42,42,203,1,['d'],['d'],Y,,,,f,23,
0,43,43,122,1,['k'],['d'],N,,,,f,23,
0,44,44,410,1,['k'],['k'],Y,,,,f,23,
0,45,45,527,1,['k'],['k'],Y,,,,f,23,
0,46,46,329,1,['k'],['k'],Y,,,,f,23,
0,47,47,147,1,['d'],['d'],Y,,,,f,23,
0,48,48,516,1,['k'],['k'],Y,,,,f,23,
