.thisRepN,.thisTrialN,.thisN,.thisIndex,Block Number,Key pressed,Category,Correct?,Match?,Interference correct?,Total correct in block,Button switch shown?,Actually switched?,Fast?,gender,age
0,0,0,294,1,['y'],['d'],Y,Y,Y,,,,,female,22
0,1,1,146,1,['y'],['d'],N,Y,Y,,,,,female,22
0,2,2,590,1,['n'],['k'],Y,N,Y,,,,,female,22
0,3,3,58,1,['n'],['d'],N,N,Y,,,,,female,22
0,4,4,272,1,['n'],['d'],N,Y,N,,,,,female,22
0,5,5,166,1,['y'],['d'],Y,Y,Y,,,,,female,22
0,6,6,21,1,['n'],['d'],Y,Y,N,,,,,female,22
0,7,7,34,1,['n'],['d'],N,Y,N,,,,,female,22
0,8,8,226,1,['n'],['d'],Y,N,Y,,,,,female,22
0,9,9,241,1,['n'],['d'],Y,Y,N,,,,,female,22
0,10,10,173,1,['n'],['d'],Y,Y,N,,,,,female,22
0,11,11,359,1,['n'],['k'],N,N,Y,,,,,female,22
0,12,12,238,1,['n'],['d'],Y,Y,N,,,,,female,22
0,13,13,377,1,['n'],['k'],Y,N,Y,,,,,female,22
0,14,14,204,1,['n'],['d'],Y,N,Y,,,,,female,22
0,15,15,103,1,['n'],['d'],N,Y,N,,,,,female,22
0,16,16,31,1,['n'],['d'],Y,N,Y,,,,,female,22
0,17,17,118,1,['y'],['d'],Y,Y,Y,,,,,female,22
0,18,18,189,1,['n'],['d'],Y,Y,N,,,,,female,22
0,19,19,75,1,['y'],['d'],Y,Y,Y,,,,,female,22
0,20,20,351,1,['n'],['k'],Y,N,Y,,,,,female,22
0,21,21,291,1,['n'],['d'],Y,N,Y,,,,,female,22
0,22,22,422,1,['n'],['k'],Y,N,Y,,,,,female,22
0,23,23,374,1,['n'],['k'],N,N,Y,,,,,female,22
0,24,24,160,1,['n'],['d'],Y,N,Y,,,,,female,22
0,25,25,251,1,['n'],['d'],Y,Y,N,,,,,female,22
0,26,26,274,1,['n'],['d'],Y,Y,N,,,,,female,22
0,27,27,328,1,['y'],['k'],Y,N,N,,,,,female,22
0,28,28,593,1,['n'],['k'],Y,Y,N,,,,,female,22
0,29,29,387,1,['y'],['k'],Y,N,N,,,,,female,22
0,30,30,295,1,['n'],['d'],N,N,Y,,,,,female,22
0,31,31,474,1,['y'],['k'],N,Y,Y,,,,,female,22
0,32,32,306,1,['y'],['k'],Y,Y,Y,,,,,female,22
0,33,33,239,1,['y'],['d'],N,Y,Y,,,,,female,22
0,34,34,169,1,['n'],['d'],Y,N,Y,,,,,female,22
0,35,35,86,1,['n'],['d'],N,N,Y,,,,,female,22
0,36,36,522,1,['n'],['k'],N,N,Y,,,,,female,22
0,37,37,523,1,['y'],['k'],N,N,N,,,,,female,22
0,38,38,230,1,['n'],['d'],Y,N,Y,,,,,female,22
0,39,39,486,1,['y'],['k'],Y,N,N,,,,,female,22
0,40,40,546,1,['n'],['k'],Y,N,Y,,,,,female,22
0,41,41,22,1,['n'],['d'],N,N,Y,,,,,female,22
0,42,42,92,1,['y'],['d'],Y,N,N,,,,,female,22
0,43,43,144,1,['y'],['d'],Y,Y,Y,,,,,female,22
0,44,44,399,1,['y'],['k'],N,Y,Y,,,,,female,22
0,45,45,594,1,['y'],['k'],Y,N,N,,,,,female,22
0,46,46,326,1,['n'],['k'],N,N,Y,,,,,female,22
0,47,47,578,1,['n'],['k'],N,N,Y,,,,,female,22
0,48,48,357,1,['n'],['k'],N,Y,N,,,,,female,22
0,49,49,401,1,['y'],['k'],Y,Y,Y,32,,,,female,22
,,,,,,,,,,,,,,,
0,50,50,443,2,['y'],['k'],N,Y,Y,,,,,female,22
0,51,51,13,2,['n'],['d'],Y,N,Y,,,,,female,22
0,52,52,79,2,['y'],['d'],Y,Y,Y,,,,,female,22
0,53,53,235,2,['y'],['d'],Y,Y,Y,,,,,female,22
0,54,54,565,2,['n'],['k'],Y,N,Y,,,,,female,22
0,55,55,216,2,['n'],['d'],N,N,Y,,,,,female,22
0,56,56,12,2,['n'],['d'],Y,N,Y,,,,,female,22
0,57,57,516,2,['n'],['k'],Y,Y,N,,,,,female,22
0,58,58,171,2,['n'],['d'],Y,N,Y,,,,,female,22
0,59,59,159,2,['n'],['d'],N,N,Y,,,,,female,22
0,60,60,561,2,['n'],['k'],N,Y,N,,,,,female,22
0,61,61,568,2,['n'],['k'],N,Y,N,,,,,female,22
0,62,62,312,2,['n'],['k'],Y,Y,N,,,,,female,22
0,63,63,536,2,None,,Timed out,,,,,,,female,22
0,64,64,416,2,['n'],['k'],N,Y,N,,,,,female,22
0,65,65,581,2,['n'],['k'],Y,N,Y,,,,,female,22
0,66,66,215,2,['y'],['d'],Y,N,N,,,,,female,22
0,67,67,48,2,['y'],['d'],N,Y,Y,,,,,female,22
0,68,68,352,2,['n'],['k'],N,N,Y,,,,,female,22
0,69,69,142,2,['n'],['d'],Y,Y,N,,,,,female,22
0,70,70,126,2,['n'],['d'],N,Y,N,,,,,female,22
0,71,71,317,2,['n'],['k'],N,N,Y,,,,,female,22
0,72,72,298,2,['n'],['d'],N,Y,N,,,,,female,22
0,73,73,78,2,['n'],['d'],N,Y,N,,,,,female,22
0,74,74,490,2,['n'],['k'],Y,N,Y,,,,,female,22
0,75,75,260,2,['n'],['d'],Y,N,Y,,,,,female,22
0,76,76,23,2,['n'],['d'],Y,Y,N,,,,,female,22
0,77,77,394,2,['n'],['k'],Y,N,Y,,,,,female,22
0,78,78,209,2,['n'],['d'],Y,Y,N,,,,,female,22
0,79,79,509,2,['y'],['k'],N,N,N,,,,,female,22
0,80,80,30,2,['n'],['d'],Y,N,Y,,,,,female,22
0,81,81,60,2,['n'],['d'],Y,N,Y,,,,,female,22
0,82,82,15,2,['n'],['d'],N,Y,N,,,,,female,22
0,83,83,77,2,['n'],['d'],N,N,Y,,,,,female,22
0,84,84,513,2,['n'],['k'],N,Y,N,,,,,female,22
0,85,85,41,2,['n'],['d'],N,Y,N,,,,,female,22
0,86,86,93,2,['n'],['d'],N,N,Y,,,,,female,22
0,87,87,184,2,['n'],['d'],Y,Y,N,,,,,female,22
0,88,88,208,2,['n'],['d'],N,N,Y,,,,,female,22
0,89,89,98,2,['n'],['d'],Y,Y,N,,,,,female,22
0,90,90,582,2,['n'],['k'],Y,Y,N,,,,,female,22
0,91,91,537,2,['n'],['k'],N,Y,N,,,,,female,22
0,92,92,333,2,['n'],['k'],Y,N,Y,,,,,female,22
0,93,93,175,2,['n'],['d'],Y,N,Y,,,,,female,22
0,94,94,372,2,['y'],['k'],Y,Y,Y,,,,,female,22
0,95,95,415,2,['y'],['k'],N,N,N,,,,,female,22
0,96,96,124,2,['y'],['d'],Y,N,N,,,,,female,22
0,97,97,265,2,['n'],['d'],N,Y,N,,,,,female,22
0,98,98,408,2,['y'],['k'],Y,Y,Y,,,,,female,22
0,99,99,476,2,['n'],['k'],N,N,Y,26,,,,female,22
,,,,,,,,,,,,,,,
0,100,100,240,3,['n'],['d'],N,Y,N,,,,,female,22
0,101,101,248,3,['n'],['d'],Y,N,Y,,,,,female,22
0,102,102,384,3,['n'],['k'],Y,N,Y,,,,,female,22
0,103,103,347,3,['n'],['k'],Y,Y,N,,,,,female,22
0,104,104,345,3,"['y', 'n']",['k'],Y,N,Timed Out,,,,,female,22
0,105,105,198,3,['n'],['d'],Y,Y,N,,,,,female,22
0,106,106,527,3,"['y', 'n']",['k'],Y,N,Timed Out,,,,,female,22
0,107,107,424,3,['n'],['k'],N,Y,N,,,,,female,22
0,108,108,236,3,"['y', 'n']",['d'],Y,Y,Timed Out,,,,,female,22
0,109,109,101,3,['n'],['d'],N,Y,N,,,,,female,22
0,110,110,417,3,['n'],['k'],N,Y,N,,,,,female,22
0,111,111,324,3,['y'],['k'],Y,Y,Y,,,,,female,22
0,112,112,199,3,['n'],['d'],Y,Y,N,,,,,female,22
0,113,113,154,3,['n'],['d'],N,Y,N,,,,,female,22
0,114,114,383,3,['n'],['k'],N,Y,N,,,,,female,22
0,115,115,575,3,['n'],['k'],N,Y,N,,,,,female,22
0,116,116,531,3,['n'],['k'],Y,Y,N,,,,,female,22
0,117,117,249,3,['n'],['d'],N,Y,N,,,,,female,22
0,118,118,172,3,['n'],['d'],Y,N,Y,,,,,female,22
0,119,119,67,3,['n'],['d'],N,N,Y,,,,,female,22
0,120,120,163,3,['n'],['d'],N,N,Y,,,,,female,22
0,121,121,488,3,['n'],['k'],Y,N,Y,,,,,female,22
0,122,122,303,3,['n'],['k'],N,Y,N,,,,,female,22
0,123,123,94,3,['n'],['d'],N,Y,N,,,,,female,22
0,124,124,270,3,['n'],['d'],Y,N,Y,,,,,female,22
0,125,125,254,3,['n'],['d'],N,N,Y,,,,,female,22
0,126,126,475,3,['n'],['k'],Y,Y,N,,,,,female,22
0,127,127,439,3,['n'],['k'],N,N,Y,,,,,female,22
0,128,128,462,3,['n'],['k'],Y,Y,N,,,,,female,22
0,129,129,369,3,['y'],['k'],N,N,N,,,,,female,22
0,130,130,507,3,['n'],['k'],Y,Y,N,,,,,female,22
0,131,131,51,3,['n'],['d'],N,N,Y,,,,,female,22
0,132,132,191,3,['y'],['d'],Y,Y,Y,,,,,female,22
0,133,133,32,3,['y'],['d'],Y,Y,Y,,,,,female,22
0,134,134,442,3,['y'],['k'],N,N,N,,,,,female,22
0,135,135,409,3,['n'],['k'],Y,N,Y,,,,,female,22
0,136,136,1,3,['n'],['d'],N,N,Y,,,,,female,22
0,137,137,484,3,['n'],['k'],Y,Y,N,,,,,female,22
