.thisRepN,.thisTrialN,.thisN,.thisIndex,Block Number,Key pressed,Category,Correct?,Button switch shown?,Actually switched?,Fast?,gender,age,
0,0,0,274,1,['k'],['d'],N,,,,f,23,
0,1,1,370,1,['k'],['k'],Y,,,,f,23,
0,2,2,78,1,['k'],['d'],N,,,,f,23,
0,3,3,435,1,['k'],['k'],Y,,,,f,23,
0,4,4,156,1,['k'],['d'],N,,,,f,23,
0,5,5,100,1,['d'],['d'],Y,,,,f,23,
0,6,6,167,1,['d'],['d'],Y,,,,f,23,
0,7,7,95,1,['d'],['d'],Y,,,,f,23,
0,8,8,550,1,['k'],['k'],Y,,,,f,23,
0,9,9,74,1,['d'],['d'],Y,,,,f,23,
0,10,10,207,1,['d'],['d'],Y,,,,f,23,
0,11,11,223,1,['d'],['d'],Y,,,,f,23,
0,12,12,147,1,['d'],['d'],Y,,,,f,23,
0,13,13,380,1,['k'],['k'],Y,,,,f,23,
0,14,14,238,1,['k'],['d'],N,,,,f,23,
0,15,15,397,1,['d'],['k'],N,,,,f,23,
0,16,16,182,1,['k'],['d'],N,,,,f,23,
0,17,17,534,1,['k'],['k'],Y,,,,f,23,
0,18,18,203,1,['d'],['d'],Y,,,,f,23,
0,19,19,18,1,['d'],['d'],Y,,,,f,23,
0,20,20,278,1,['d'],['d'],Y,,,,f,23,
0,21,21,368,1,['k'],['k'],Y,,,,f,23,
0,22,22,357,1,['d'],['k'],N,,,,f,23,
0,23,23,218,1,['d'],['d'],Y,,,,f,23,
0,24,24,566,1,['k'],['k'],Y,,,,f,23,
0,25,25,124,1,['d'],['d'],Y,,,,f,23,
0,26,26,202,1,['d'],['d'],Y,,,,f,23,
0,27,27,327,1,['k'],['k'],Y,,,,f,23,
0,28,28,297,1,['d'],['d'],Y,,,,f,23,
0,29,29,51,1,['d'],['d'],Y,,,,f,23,
0,30,30,152,1,['k'],['d'],N,,,,f,23,
0,31,31,263,1,['d'],['d'],Y,,,,f,23,
0,32,32,475,1,['d'],['k'],N,,,,f,23,
0,33,33,193,1,['d'],['d'],Y,,,,f,23,
0,34,34,287,1,['d'],['d'],Y,,,,f,23,
0,35,35,214,1,['d'],['d'],Y,,,,f,23,
0,36,36,467,1,['k'],['k'],Y,,,,f,23,
0,37,37,158,1,['d'],['d'],Y,,,,f,23,
0,38,38,58,1,['k'],['d'],N,,,,f,23,
0,39,39,511,1,['k'],['k'],Y,,,,f,23,
0,40,40,174,1,['d'],['d'],Y,,,,f,23,
0,41,41,201,1,['k'],['d'],N,,,,f,23,
0,42,42,227,1,['k'],['d'],N,,,,f,23,
0,43,43,557,1,['k'],['k'],Y,,,,f,23,
0,44,44,244,1,['d'],['d'],Y,,,,f,23,
0,45,45,119,1,['d'],['d'],Y,,,,f,23,
0,46,46,468,1,['k'],['k'],Y,,,,f,23,
0,47,47,126,1,['d'],['d'],Y,,,,f,23,
0,48,48,459,1,['k'],['k'],Y,,,,f,23,
0,49,49,138,1,['k'],['d'],N,,,,f,23,
0,50,50,192,2,['d'],['d'],Y,,,,f,23,
0,51,51,168,2,['d'],['d'],Y,,,,f,23,
0,52,52,369,2,['k'],['k'],Y,,,,f,23,
0,53,53,155,2,['d'],['d'],Y,,,,f,23,
