.thisRepN,.thisTrialN,.thisN,.thisIndex,.thisTrial,Block Number,Key pressed,Correct?,Category,Int Match?,Int Response,Int Correct?,Line Accuracy,Interference Accuracy,Matching Interferences,New instruction shown?,Buttons switched?,Fast?,gender,age,
0,0,0,4,4,1,None,Timed out,,,,,,,,,,,female,21,
0,1,1,0,0,1,['k'],Y,['k'],,,,,,,,,,female,21,
0,2,2,1,1,1,None,Timed out,,Y,None,N,,,,,,,female,21,
0,3,3,0,0,1,['k'],Y,['k'],Y,None,N,,,,,,,female,21,
0,4,4,9,9,1,['d'],Y,['d'],Y,None,N,,,,,,,female,21,
0,5,5,5,5,1,['k'],N,['d'],N,None,Y,,,,,,,female,21,
0,6,6,3,3,1,['d'],N,['k'],Y,['space'],Y,,,,,,,female,21,
0,7,7,2,2,1,['k'],Y,['k'],N,['space'],N,,,,,,,female,21,
0,8,8,8,8,1,['k'],Y,['k'],Y,['space'],Y,,,,,,,female,21,
0,9,9,6,6,1,['k'],Y,['k'],N,None,Y,,,,,,,female,21,
0,10,10,7,7,1,['d'],N,['k'],Y,['space'],Y,,,,,,,female,21,
1,0,11,2,2,1,['k'],Y,['k'],N,['space'],N,,,,,,,female,21,
1,1,12,0,0,1,['k'],Y,['k'],N,['space'],N,,,,,,,female,21,
1,2,13,2,2,1,['k'],N,['d'],N,None,Y,,,,,,,female,21,
1,3,14,5,5,1,['d'],Y,['d'],N,None,Y,,,,,,,female,21,
1,4,15,7,7,1,['k'],N,['d'],Y,['k'],N,,,,,,,female,21,
1,5,16,9,9,1,['k'],N,['d'],Y,None,N,,,,,,,female,21,
1,6,17,6,6,1,['d'],Y,['d'],N,['space'],N,,,,,,,female,21,
1,7,18,8,8,1,['k'],N,['d'],Y,None,N,,,,,,,female,21,
1,8,19,10,10,1,['k'],Y,['k'],N,['space'],N,,,,,,,female,21,
1,9,20,1,1,1,['k'],N,['d'],Y,['space'],Y,,,,,,,female,21,
1,10,21,8,8,1,['k'],Y,['k'],Y,['space'],Y,,,,,,,female,21,
2,0,22,8,8,1,['k'],N,['d'],N,None,Y,,,,,,,female,21,
2,1,23,1,1,1,['k'],N,['d'],N,None,Y,,,,,,,female,21,
2,2,24,7,7,1,['k'],Y,['k'],Y,None,N,,,,,,,female,21,
2,3,25,3,3,1,['k'],Y,['k'],Y,None,N,,,,,,,female,21,
2,4,26,10,10,1,['k'],Y,['k'],N,None,Y,,,,,,,female,21,
2,5,27,5,5,1,['k'],N,['d'],N,['space'],N,,,,,,,female,21,
2,6,28,6,6,1,['k'],N,['d'],N,None,Y,,,,,,,female,21,
2,7,29,6,6,1,['k'],N,['d'],N,['space'],N,,,,,,,female,21,
2,8,30,5,5,1,['k'],N,['d'],Y,None,N,,,,,,,female,21,
2,9,31,5,5,1,['d'],N,['k'],N,None,Y,,,,,,,female,21,
2,10,32,1,1,1,['k'],N,['d'],N,None,Y,,,,,,,female,21,
3,0,33,4,4,1,['d'],N,['k'],N,['space'],N,,,,,,,female,21,
3,1,34,1,1,1,['k'],Y,['k'],N,['space'],N,,,,,,,female,21,
3,2,35,3,3,1,['k'],Y,['k'],Y,['space'],Y,,,,,,,female,21,
3,3,36,1,1,1,['k'],Y,['k'],Y,['space'],Y,,,,,,,female,21,
3,4,37,5,5,1,['k'],Y,['k'],N,['space'],N,,,,,,,female,21,
3,5,38,2,2,1,['k'],Y,['k'],N,['space'],N,,,,,,,female,21,
3,6,39,8,8,1,['d'],N,['k'],Y,['space'],Y,,,,,,,female,21,
3,7,40,2,2,1,['k'],Y,['k'],N,None,Y,,,,,,,female,21,
3,8,41,10,10,1,['k'],N,['d'],N,['space'],N,,,,,,,female,21,
3,9,42,0,0,1,['k'],N,['d'],N,['d'],N,,,,,,,female,21,
3,10,43,0,0,1,['d'],Y,['d'],Y,['space'],Y,,,,,,,female,21,
4,0,44,2,2,1,['k'],N,['d'],Y,['k'],N,,,,,,,female,21,
4,1,45,8,8,1,['d'],N,['k'],Y,['space'],Y,,,,,,,female,21,
4,2,46,9,9,1,['k'],Y,['k'],N,['space'],N,,,,,,,female,21,
4,3,47,2,2,1,['d'],Y,['d'],N,['k'],N,,,,,,,female,21,
4,4,48,10,10,1,['k'],N,['d'],N,['space'],N,,,,,,,female,21,
4,5,49,9,9,1,['k'],N,['d'],Y,None,N,24,21,21,,,,female,21,
4,6,50,4,4,2,['d'],Y,['d'],,,,,,,,,,female,21,
4,7,51,2,2,2,['k'],N,['d'],,,,,,,,,,female,21,
4,8,52,10,10,2,['d'],Y,['d'],N,['space'],N,,,,,,,female,21,
4,9,53,9,9,2,['k'],N,['d'],N,None,Y,,,,,,,female,21,
4,10,54,8,8,2,['d'],N,['k'],N,None,Y,,,,,,,female,21,
5,0,55,3,3,2,['k'],Y,['k'],Y,['space'],Y,,,,,,,female,21,
5,1,56,3,3,2,['k'],Y,['k'],Y,['space'],Y,,,,,,,female,21,
5,2,57,10,10,2,['k'],Y,['k'],N,['space'],N,,,,,,,female,21,
5,3,58,0,0,2,['d'],Y,['d'],N,None,Y,,,,,,,female,21,
5,4,59,9,9,2,['d'],Y,['d'],Y,None,N,,,,,,,female,21,
5,5,60,7,7,2,['k'],Y,['k'],Y,['k'],N,,,,,,,female,21,
5,6,61,2,2,2,['d'],Y,['d'],N,None,Y,,,,,,,female,21,
5,7,62,6,6,2,['k'],N,['d'],Y,['space'],Y,,,,,,,female,21,
5,8,63,9,9,2,['d'],Y,['d'],N,None,Y,,,,,,,female,21,
5,9,64,5,5,2,['k'],Y,['k'],Y,['space'],Y,,,,,,,female,21,
5,10,65,6,6,2,['d'],Y,['d'],N,None,Y,,,,,,,female,21,
6,0,66,1,1,2,['k'],N,['d'],N,None,Y,,,,,,,female,21,
6,1,67,1,1,2,['d'],Y,['d'],Y,['space'],Y,,,,,,,female,21,
6,2,68,9,9,2,['k'],Y,['k'],Y,['space'],Y,,,,,,,female,21,
6,3,69,8,8,2,['d'],N,['k'],N,None,Y,,,,,,,female,21,
6,4,70,2,2,2,['k'],N,['d'],N,None,Y,,,,,,,female,21,
6,5,71,8,8,2,['d'],N,['k'],Y,['d'],N,,,,,,,female,21,
6,6,72,2,2,2,['k'],N,['d'],Y,['space'],Y,,,,,,,female,21,
6,7,73,10,10,2,['d'],N,['k'],N,None,Y,,,,,,,female,21,
6,8,74,10,10,2,['k'],N,['d'],N,None,Y,,,,,,,female,21,
6,9,75,1,1,2,['k'],N,['d'],Y,None,N,,,,,,,female,21,
6,10,76,4,4,2,['d'],N,['k'],N,['space'],N,,,,,,,female,21,
7,0,77,9,9,2,['k'],N,['d'],N,None,Y,,,,,,,female,21,
7,1,78,3,3,2,['d'],N,['k'],Y,['space'],Y,,,,,,,female,21,
7,2,79,7,7,2,['k'],Y,['k'],Y,None,N,,,,,,,female,21,
7,3,80,10,10,2,['k'],Y,['k'],N,['space'],N,,,,,,,female,21,
7,4,81,4,4,2,['d'],N,['k'],N,None,Y,,,,,,,female,21,
7,5,82,2,2,2,['k'],N,['d'],N,None,Y,,,,,,,female,21,
7,6,83,0,0,2,['d'],N,['k'],Y,['space'],Y,,,,,,,female,21,
7,7,84,3,3,2,['k'],Y,['k'],Y,['k'],N,,,,,,,female,21,
7,8,85,1,1,2,['d'],Y,['d'],Y,['space'],Y,,,,,,,female,21,
7,9,86,7,7,2,['k'],N,['d'],Y,['space'],Y,,,,,,,female,21,
7,10,87,0,0,2,['d'],Y,['d'],N,['d'],N,,,,,,,female,21,
8,0,88,5,5,2,['d'],N,['k'],Y,['space'],Y,,,,,,,female,21,
8,1,89,9,9,2,['k'],Y,['k'],Y,['space'],Y,,,,,,,female,21,
8,2,90,8,8,2,['k'],Y,['k'],N,None,Y,,,,,,,female,21,
8,3,91,3,3,2,['d'],N,['k'],N,None,Y,,,,,,,female,21,
8,4,92,7,7,2,['k'],N,['d'],Y,None,N,,,,,,,female,21,
8,5,93,6,6,2,['k'],Y,['k'],N,None,Y,,,,,,,female,21,
8,6,94,3,3,2,['k'],Y,['k'],N,['space'],N,,,,,,,female,21,
8,7,95,3,3,2,['k'],N,['d'],Y,None,N,,,,,,,female,21,
8,8,96,7,7,2,['d'],N,['k'],N,['space'],N,,,,,,,female,21,
8,9,97,6,6,2,['k'],N,['d'],Y,['space'],Y,,,,,,,female,21,
8,10,98,4,4,2,['d'],Y,['d'],N,['space'],N,,,,,,,female,21,
9,0,99,0,0,2,['k'],Y,['k'],N,['space'],N,25,31,22,,,,female,21,
9,1,100,9,9,3,['k'],N,['d'],,,,,,,,,,female,21,
9,2,101,7,7,3,['d'],N,['k'],,,,,,,,,,female,21,
9,3,102,2,2,3,['k'],Y,['k'],N,None,Y,,,,,,,female,21,
9,4,103,6,6,3,['k'],N,['d'],N,None,Y,,,,,,,female,21,
