.thisRepN,.thisTrialN,.thisN,.thisIndex,.thisTrial,Block Number,Key pressed,Category,Correct?,Int Match?,Int Response,Int Correct?,Line Accuracy,Interference Accuracy,Matching Interferences,New instruction shown?,Buttons switched?,Fast?,gender,age,
0,0,0,3,3,1,['k'],['k'],Y,,,,,,,,,,m,19,
0,1,1,0,0,1,['k'],['k'],Y,,,,,,,,,,m,19,
0,2,2,10,10,1,['k'],['d'],N,Y,['space'],Y,,,,,,,m,19,
0,3,3,7,7,1,['k'],['k'],Y,Y,None,N,,,,,,,m,19,
0,4,4,9,9,1,['k'],['d'],N,N,None,Y,,,,,,,m,19,
0,5,5,12,12,1,['k'],['d'],N,N,None,Y,,,,,,,m,19,
0,6,6,0,0,1,['d'],['d'],Y,N,['space'],N,,,,,,,m,19,
0,7,7,6,6,1,['d'],['k'],N,Y,None,N,,,,,,,m,19,
0,8,8,6,6,1,['d'],['k'],N,Y,['space'],Y,,,,,,,m,19,
0,9,9,11,11,1,['k'],['d'],N,Y,['space'],Y,,,,,,,m,19,
0,10,10,8,8,1,['k'],['k'],Y,N,None,Y,,,,,,,m,19,
0,11,11,0,0,1,['d'],['d'],Y,Y,None,N,,,,,,,m,19,
0,12,12,7,7,1,['d'],['d'],Y,Y,['space'],Y,,,,,,,m,19,
0,13,13,10,10,1,['d'],['k'],N,N,None,Y,,,,,,,m,19,
0,14,14,4,4,1,['k'],['k'],Y,Y,['space'],Y,,,,,,,m,19,
1,0,15,3,3,1,['k'],['d'],N,Y,None,N,,,,,,,m,19,
1,1,16,8,8,1,['d'],['k'],N,Y,['space'],Y,,,,,,,m,19,
1,2,17,11,11,1,['k'],['d'],N,N,None,Y,,,,,,,m,19,
1,3,18,6,6,1,['d'],['d'],Y,Y,['space'],Y,,,,,,,m,19,
1,4,19,1,1,1,['k'],['k'],Y,Y,None,N,,,,,,,m,19,
1,5,20,14,14,1,['d'],['d'],Y,Y,['space'],Y,,,,,,,m,19,
1,6,21,0,0,1,['k'],['k'],Y,N,None,Y,,,,,,,m,19,
1,7,22,7,7,1,['d'],['k'],N,Y,['space'],Y,,,,,,,m,19,
1,8,23,5,5,1,['k'],['d'],N,N,None,Y,,,,,,,m,19,
1,9,24,8,8,1,['d'],['k'],N,N,None,Y,,,,,,,m,19,
1,10,25,2,2,1,['k'],['d'],N,N,None,Y,,,,,,,m,19,
1,11,26,12,12,1,['k'],['k'],Y,N,None,Y,,,,,,,m,19,
1,12,27,1,1,1,['d'],['d'],Y,N,None,Y,,,,,,,m,19,
1,13,28,11,11,1,['k'],['k'],Y,Y,['space'],Y,,,,,,,m,19,
1,14,29,2,2,1,['d'],['d'],Y,Y,['space'],Y,,,,,,,m,19,
2,0,30,10,10,1,['k'],['k'],Y,N,None,Y,,,,,,,m,19,
2,1,31,12,12,1,['d'],['k'],N,Y,['space'],Y,,,,,,,m,19,
2,2,32,13,13,1,['d'],['k'],N,Y,None,N,,,,,,,m,19,
2,3,33,0,0,1,['k'],['k'],Y,Y,['space'],Y,,,,,,,m,19,
2,4,34,7,7,1,['d'],['k'],N,N,None,Y,,,,,,,m,19,
2,5,35,12,12,1,['d'],['d'],Y,Y,None,N,,,,,,,m,19,
2,6,36,13,13,1,['k'],['k'],Y,Y,['space'],Y,,,,,,,m,19,
2,7,37,9,9,1,['d'],['k'],N,Y,None,N,,,,,,,m,19,
2,8,38,9,9,1,['k'],['k'],Y,Y,['space'],Y,,,,,,,m,19,
2,9,39,1,1,1,['k'],['d'],N,N,None,Y,,,,,,,m,19,
2,10,40,4,4,1,['d'],['d'],Y,N,None,Y,,,,,,,m,19,
2,11,41,3,3,1,['d'],['k'],N,N,None,Y,,,,,,,m,19,
2,12,42,5,5,1,['k'],['k'],Y,Y,None,N,,,,,,,m,19,
2,13,43,12,12,1,['d'],['d'],Y,Y,None,N,,,,,,,m,19,
2,14,44,4,4,1,['k'],['k'],Y,N,['space'],N,,,,,,,m,19,
3,0,45,1,1,1,['d'],['d'],Y,N,None,Y,,,,,,,m,19,
3,1,46,9,9,1,['d'],['d'],Y,N,None,Y,,,,,,,m,19,
3,2,47,10,10,1,['k'],['k'],Y,N,['space'],N,,,,,,,m,19,
3,3,48,5,5,1,['k'],['k'],Y,N,None,Y,,,,,,,m,19,
3,4,49,12,12,1,['k'],['k'],Y,N,None,Y,30,35,25,,,,m,19,
3,5,50,9,9,2,['k'],['k'],Y,,,,,,,,,,m,19,
3,6,51,10,10,2,['d'],['d'],Y,,,,,,,,,,m,19,
3,7,52,6,6,2,['k'],['k'],Y,Y,['space'],Y,,,,,,,m,19,
3,8,53,2,2,2,['k'],['k'],Y,N,['space'],N,,,,,,,m,19,
3,9,54,14,14,2,['d'],['d'],Y,Y,['space'],Y,,,,,,,m,19,
3,10,55,14,14,2,['k'],['k'],Y,N,None,Y,,,,,,,m,19,
3,11,56,8,8,2,['d'],['d'],Y,Y,['space'],Y,,,,,,,m,19,
3,12,57,5,5,2,['k'],['k'],Y,N,None,Y,,,,,,,m,19,
3,13,58,6,6,2,['d'],['d'],Y,Y,['space'],Y,,,,,,,m,19,
3,14,59,3,3,2,['k'],['d'],N,Y,None,N,,,,,,,m,19,
4,0,60,14,14,2,['d'],['k'],N,N,None,Y,,,,,,,m,19,
4,1,61,8,8,2,['d'],['k'],N,N,None,Y,,,,,,,m,19,
4,2,62,6,6,2,['d'],['k'],N,Y,None,N,,,,,,,m,19,
4,3,63,6,6,2,['k'],['d'],N,Y,['space'],Y,,,,,,,m,19,
4,4,64,5,5,2,['d'],['k'],N,Y,None,N,,,,,,,m,19,
4,5,65,6,6,2,['k'],['k'],Y,Y,None,N,,,,,,,m,19,
4,6,66,7,7,2,['k'],['k'],Y,N,None,Y,,,,,,,m,19,
4,7,67,2,2,2,['d'],['d'],Y,N,None,Y,,,,,,,m,19,
4,8,68,7,7,2,['k'],['k'],Y,N,['space'],N,,,,,,,m,19,
4,9,69,11,11,2,['k'],['k'],Y,Y,['space'],Y,,,,,,,m,19,
4,10,70,14,14,2,['d'],['d'],Y,N,None,Y,,,,,,,m,19,
4,11,71,2,2,2,['d'],['d'],Y,N,None,Y,,,,,,,m,19,
4,12,72,8,8,2,['d'],['k'],N,Y,['space'],Y,,,,,,,m,19,
4,13,73,3,3,2,['k'],['k'],Y,Y,None,N,,,,,,,m,19,
4,14,74,2,2,2,['k'],['d'],N,N,None,Y,,,,,,,m,19,
5,0,75,3,3,2,['d'],['d'],Y,Y,['space'],Y,,,,,,,m,19,
5,1,76,13,13,2,['d'],['d'],Y,Y,['space'],Y,,,,,,,m,19,
5,2,77,5,5,2,['d'],['d'],Y,Y,None,N,,,,,,,m,19,
5,3,78,8,8,2,['k'],['k'],Y,Y,None,N,,,,,,,m,19,
5,4,79,8,8,2,['k'],['k'],Y,Y,['space'],Y,,,,,,,m,19,
5,5,80,1,1,2,['d'],['k'],N,N,None,Y,,,,,,,m,19,
5,6,81,4,4,2,['k'],['k'],Y,N,None,Y,,,,,,,m,19,
5,7,82,8,8,2,['d'],['d'],Y,N,None,Y,,,,,,,m,19,
5,8,83,7,7,2,['d'],['d'],Y,Y,['space'],Y,,,,,,,m,19,
5,9,84,14,14,2,['d'],['d'],Y,N,None,Y,,,,,,,m,19,
5,10,85,5,5,2,['k'],['k'],Y,N,None,Y,,,,,,,m,19,
5,11,86,9,9,2,['d'],['d'],Y,N,['space'],N,,,,,,,m,19,
5,12,87,10,10,2,['k'],['k'],Y,N,None,Y,,,,,,,m,19,
5,13,88,12,12,2,['d'],['d'],Y,Y,None,N,,,,,,,m,19,
5,14,89,10,10,2,['k'],['d'],N,Y,None,N,,,,,,,m,19,
6,0,90,11,11,2,['d'],['d'],Y,N,None,Y,,,,,,,m,19,
6,1,91,10,10,2,['k'],['k'],Y,Y,['space'],Y,,,,,,,m,19,
6,2,92,3,3,2,['d'],['d'],Y,N,None,Y,,,,,,,m,19,
6,3,93,2,2,2,['k'],['d'],N,Y,None,N,,,,,,,m,19,
6,4,94,7,7,2,['k'],['k'],Y,N,None,Y,,,,,,,m,19,
6,5,95,2,2,2,['k'],['k'],Y,Y,None,N,,,,,,,m,19,
6,6,96,1,1,2,['d'],['k'],N,N,None,Y,,,,,,,m,19,
6,7,97,14,14,2,['k'],['k'],Y,N,['space'],N,,,,,,,m,19,
6,8,98,2,2,2,['k'],['d'],N,N,None,Y,,,,,,,m,19,
6,9,99,9,9,2,['d'],['d'],Y,Y,None,N,37,32,24,,,,m,19,
6,10,100,1,1,3,['k'],['d'],N,,,,,,,,,,m,19,
6,11,101,5,5,3,['k'],['k'],Y,,,,,,,,,,m,19,
6,12,102,11,11,3,['k'],['k'],Y,N,None,Y,,,,,,,m,19,
6,13,103,1,1,3,['k'],['k'],Y,Y,None,N,,,,,,,m,19,
6,14,104,4,4,3,['d'],['k'],N,Y,None,N,,,,,,,m,19,
7,0,105,0,0,3,['d'],['d'],Y,N,None,Y,,,,,,,m,19,
7,1,106,11,11,3,['d'],['d'],Y,Y,None,N,,,,,,,m,19,
7,2,107,7,7,3,['k'],['k'],Y,Y,['space'],Y,,,,,,,m,19,
7,3,108,12,12,3,['d'],['d'],Y,N,None,Y,,,,,,,m,19,
7,4,109,9,9,3,['k'],['k'],Y,N,['space'],N,,,,,,,m,19,
7,5,110,1,1,3,['d'],['d'],Y,Y,None,N,,,,,,,m,19,
7,6,111,10,10,3,['d'],['d'],Y,N,None,Y,,,,,,,m,19,
7,7,112,11,11,3,['k'],['k'],Y,Y,['space'],Y,,,,,,,m,19,
7,8,113,10,10,3,['k'],['k'],Y,Y,None,N,,,,,,,m,19,
7,9,114,7,7,3,['d'],['d'],Y,N,None,Y,,,,,,,m,19,
7,10,115,0,0,3,['d'],['d'],Y,N,None,Y,,,,,,,m,19,
7,11,116,12,12,3,['k'],['d'],N,Y,['space'],Y,,,,,,,m,19,
7,12,117,10,10,3,['d'],['d'],Y,Y,['space'],Y,,,,,,,m,19,
