.thisRepN,.thisTrialN,.thisN,.thisIndex,.thisTrial,Block Number,Key pressed,Category,Correct?,Int Match?,Int Response,Int Correct?,gender,age,
0,0,0,9,9,1,['d'],['k'],N,,,,,,
0,1,1,6,6,1,['d'],['d'],Y,,,,,,
0,2,2,8,8,1,['k'],['k'],Y,Y,None,N,,,
0,3,3,9,9,1,['d'],['d'],Y,N,['space'],N,,,
0,4,4,8,8,1,['k'],['k'],Y,Y,['space'],Y,,,
0,5,5,12,12,1,['d'],['d'],Y,N,None,Y,,,
0,6,6,4,4,1,['d'],['d'],Y,Y,['space'],Y,,,
0,7,7,3,3,1,['d'],['d'],Y,Y,['space'],Y,,,
0,8,8,13,13,1,['k'],['k'],Y,Y,None,N,,,
0,9,9,12,12,1,['d'],['d'],Y,N,None,Y,,,
0,10,10,10,10,1,['d'],['k'],N,Y,['space'],Y,,,
0,11,11,3,3,1,['k'],['d'],N,Y,None,N,,,
0,12,12,9,9,1,['d'],['k'],N,N,None,Y,,,
0,13,13,3,3,1,['k'],['k'],Y,Y,['space'],Y,,,
0,14,14,9,9,1,['d'],['k'],N,Y,None,N,,,
1,0,15,5,5,1,['d'],['d'],Y,Y,['space'],Y,,,
1,1,16,8,8,1,['k'],['d'],N,Y,None,N,,,
1,2,17,4,4,1,['d'],['k'],N,Y,['space'],Y,,,
1,3,18,10,10,1,['k'],['k'],Y,N,None,Y,,,
1,4,19,4,4,1,['k'],['k'],Y,Y,['space'],Y,,,
1,5,20,14,14,1,['k'],['k'],Y,N,None,Y,,,
1,6,21,2,2,1,['k'],['k'],Y,N,None,Y,,,
1,7,22,2,2,1,['k'],['d'],N,N,None,Y,,,
1,8,23,0,0,1,['k'],['k'],Y,Y,['space'],Y,,,
1,9,24,11,11,1,['d'],['d'],Y,Y,['space'],Y,,,
1,10,25,14,14,1,['d'],['d'],Y,N,None,Y,,,
1,11,26,12,12,1,['k'],['k'],Y,Y,['space'],Y,,,
1,12,27,0,0,1,['k'],['d'],N,Y,None,N,,,
1,13,28,6,6,1,['k'],['d'],N,N,None,Y,,,
1,14,29,9,9,1,['d'],['k'],N,Y,None,N,,,
2,0,30,6,6,1,['k'],['d'],N,Y,['space'],Y,,,
2,1,31,14,14,1,['k'],['k'],Y,Y,None,N,,,
2,2,32,1,1,1,['k'],['d'],N,N,None,Y,,,
2,3,33,8,8,1,['k'],['k'],Y,N,None,Y,,,
2,4,34,0,0,1,['d'],['k'],N,N,None,Y,,,
2,5,35,11,11,1,None,,Timed out,Y,['space'],Y,,,
