.thisRepN,.thisTrialN,.thisN,.thisIndex,.thisTrial,Block Number,Key pressed,Category,Correct?,Int Match?,Int Response,Int Correct?,Line Accuracy,Interference Accuracy,Matching Interferences,New instruction shown?,Buttons switched?,Fast?,gender,age,
0,0,0,5,5,1,['k'],['d'],N,,,,,,,,,,F,20,
0,1,1,7,7,1,['d'],['d'],Y,,,,,,,,,,F,20,
0,2,2,8,8,1,['d'],['k'],N,Y,None,N,,,,,,,F,20,
0,3,3,2,2,1,['k'],['k'],Y,N,None,Y,,,,,,,F,20,
0,4,4,3,3,1,['d'],['d'],Y,N,None,Y,,,,,,,F,20,
0,5,5,9,9,1,['d'],['d'],Y,Y,['space'],Y,,,,,,,F,20,
0,6,6,10,10,1,['k'],['k'],Y,N,None,Y,,,,,,,F,20,
0,7,7,1,1,1,['d'],['k'],N,Y,None,N,,,,,,,F,20,
0,8,8,5,5,1,['k'],['d'],N,N,None,Y,,,,,,,F,20,
0,9,9,6,6,1,['d'],['d'],Y,N,None,Y,,,,,,,F,20,
0,10,10,8,8,1,['k'],['d'],N,N,None,Y,,,,,,,F,20,
1,0,11,10,10,1,['d'],['d'],Y,N,['space'],N,,,,,,,F,20,
1,1,12,4,4,1,['d'],['d'],Y,N,None,Y,,,,,,,F,20,
1,2,13,3,3,1,['k'],['k'],Y,N,None,Y,,,,,,,F,20,
1,3,14,5,5,1,['d'],['d'],Y,N,['space'],N,,,,,,,F,20,
1,4,15,2,2,1,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,20,
1,5,16,1,1,1,['d'],['d'],Y,N,None,Y,,,,,,,F,20,
1,6,17,3,3,1,['d'],['k'],N,N,['space'],N,,,,,,,F,20,
1,7,18,6,6,1,['k'],['k'],Y,Y,None,N,,,,,,,F,20,
1,8,19,9,9,1,['d'],['k'],N,N,None,Y,,,,,,,F,20,
1,9,20,3,3,1,['k'],['d'],N,Y,['space'],Y,,,,,,,F,20,
1,10,21,2,2,1,['d'],['d'],Y,Y,['space'],Y,,,,,,,F,20,
2,0,22,8,8,1,['k'],['k'],Y,N,None,Y,,,,,,,F,20,
2,1,23,0,0,1,['d'],['d'],Y,N,None,Y,,,,,,,F,20,
2,2,24,8,8,1,['k'],['d'],N,Y,['space'],Y,,,,,,,F,20,
2,3,25,3,3,1,['d'],['k'],N,N,None,Y,,,,,,,F,20,
2,4,26,0,0,1,['d'],['k'],N,Y,['space'],Y,,,,,,,F,20,
2,5,27,2,2,1,['k'],['d'],N,N,None,Y,,,,,,,F,20,
2,6,28,4,4,1,['d'],['d'],Y,Y,['space'],Y,,,,,,,F,20,
2,7,29,8,8,1,['d'],['d'],Y,N,None,Y,,,,,,,F,20,
2,8,30,1,1,1,['k'],['k'],Y,N,None,Y,,,,,,,F,20,
2,9,31,0,0,1,['d'],['d'],Y,N,None,Y,,,,,,,F,20,
2,10,32,10,10,1,['k'],['d'],N,Y,['space'],Y,,,,,,,F,20,
3,0,33,8,8,1,['k'],['k'],Y,N,None,Y,,,,,,,F,20,
3,1,34,2,2,1,['k'],['d'],N,N,None,Y,,,,,,,F,20,
3,2,35,10,10,1,['d'],['d'],Y,N,None,Y,,,,,,,F,20,
3,3,36,6,6,1,['k'],['k'],Y,N,None,Y,,,,,,,F,20,
3,4,37,6,6,1,['k'],['k'],Y,N,None,Y,,,,,,,F,20,
3,5,38,6,6,1,['d'],['k'],N,N,None,Y,,,,,,,F,20,
3,6,39,10,10,1,['k'],['d'],N,Y,['space'],Y,,,,,,,F,20,
3,7,40,7,7,1,['k'],['d'],N,N,None,Y,,,,,,,F,20,
3,8,41,6,6,1,['d'],['d'],Y,Y,['space'],Y,,,,,,,F,20,
3,9,42,1,1,1,['k'],['k'],Y,N,None,Y,,,,,,,F,20,
3,10,43,5,5,1,['k'],['k'],Y,N,['space'],N,,,,,,,F,20,
4,0,44,3,3,1,['d'],['d'],Y,Y,None,N,,,,,,,F,20,
4,1,45,3,3,1,['d'],['d'],Y,Y,['space'],Y,,,,,,,F,20,
4,2,46,10,10,1,['k'],['d'],N,N,None,Y,,,,,,,F,20,
4,3,47,9,9,1,['k'],['d'],N,N,None,Y,,,,,,,F,20,
4,4,48,1,1,1,['d'],['d'],Y,Y,['space'],Y,,,,,,,F,20,
4,5,49,1,1,1,['k'],['d'],N,N,None,Y,30,40,16,,,,F,20,
4,6,50,1,1,2,['k'],['d'],N,,,,,,,,,,F,20,
4,7,51,0,0,2,['d'],['d'],Y,,,,,,,,,,F,20,
4,8,52,4,4,2,['k'],['k'],Y,N,None,Y,,,,,,,F,20,
4,9,53,8,8,2,['d'],['d'],Y,N,None,Y,,,,,,,F,20,
4,10,54,2,2,2,['k'],['d'],N,Y,['space'],Y,,,,,,,F,20,
